Gaia15aal
#Date,JD,averagemag.
2014-10-04 05:08:54,2456934.715,null
2014-10-04 09:22:34,2456934.891,null
2014-10-29 21:23:44,2456960.391,null
2014-10-29 23:09:55,2456960.465,null
2014-12-13 09:00:51,2457004.876,null
2014-12-13 10:47:06,2457004.949,null
2015-01-09 03:02:34,2457031.627,17.13
2015-01-09 04:49:08,2457031.701,17.12
2015-02-09 14:43:30,2457063.114,18.67
2015-03-17 01:59:46,2457098.583,19.25
2015-03-17 03:48:23,2457098.659,null
2015-05-18 00:44:32,2457160.531,null
2015-05-18 02:31:19,2457160.605,null
2015-06-02 00:49:42,2457175.535,null
2015-06-02 02:35:59,2457175.608,null
2015-07-13 17:37:03,2457217.234,null
2015-07-13 19:23:29,2457217.308,null
2015-09-10 10:56:25,2457275.956,null
2015-10-19 12:14:26,2457315.010,null
2015-10-19 16:28:12,2457315.186,null
2015-11-12 16:33:15,2457339.190,null
2015-11-12 18:19:54,2457339.264,null
2015-12-25 17:57:28,2457382.248,null
2015-12-25 22:11:23,2457382.425,null

