Gaia15abq
#Date,JD,averagemag.
2014-08-18 10:26:34,2456887.935,null
2014-08-18 14:40:19,2456888.111,null
2014-08-18 16:27:04,2456888.185,null
2014-08-18 20:40:43,2456888.362,null
2014-08-18 22:26:57,2456888.435,null
2014-08-19 02:40:56,2456888.612,null
2014-12-21 13:10:09,2457013.049,null
2014-12-21 14:56:31,2457013.123,null
2015-01-22 14:25:15,2457045.101,null
2015-02-08 06:33:44,2457061.773,18.38
2015-02-08 08:20:18,2457061.847,18.45
2015-05-15 10:19:26,2457157.930,null
2015-05-15 14:32:59,2457158.106,null
2015-05-15 16:19:40,2457158.180,null
2015-05-15 20:33:43,2457158.357,null
2015-05-15 22:20:16,2457158.431,null
2015-05-16 02:33:40,2457158.607,null
2015-05-16 04:20:11,2457158.681,null
2015-05-16 08:33:51,2457158.857,null
2015-05-16 10:20:23,2457158.931,null
2015-05-16 14:34:14,2457159.107,null
2015-05-16 16:20:52,2457159.181,null
2015-05-16 20:34:30,2457159.357,null
2015-05-17 02:34:36,2457159.607,null
2015-05-17 08:34:42,2457159.857,null
2015-05-17 14:34:48,2457160.108,null
2015-05-17 20:35:05,2457160.358,null
2015-05-18 02:35:35,2457160.608,null
2015-05-18 04:21:46,2457160.682,null
2015-05-18 08:35:45,2457160.858,null
2015-05-18 10:21:56,2457160.932,null
2015-05-18 14:35:49,2457161.108,null
2015-05-18 16:22:32,2457161.182,null
2015-05-18 20:35:56,2457161.358,null
2015-05-18 22:22:42,2457161.432,null
2015-05-19 02:36:28,2457161.609,null
2015-05-19 04:22:38,2457161.682,null
2015-06-30 15:40:25,2457204.153,null
2015-08-19 03:19:43,2457253.639,null
2015-08-19 07:33:49,2457253.815,null
2015-08-19 09:20:13,2457253.889,null
2015-08-19 13:33:33,2457254.065,null
2015-11-17 02:47:19,2457343.616,null
2015-11-17 04:33:34,2457343.690,null
2015-11-17 08:47:20,2457343.866,null
2015-11-17 10:34:10,2457343.940,null
2015-11-17 14:47:28,2457344.116,null
2015-11-17 16:34:19,2457344.191,null
2015-11-23 04:39:10,2457349.694,null
2015-11-23 08:53:01,2457349.870,null
2015-11-23 10:39:33,2457349.944,null
2015-11-23 14:53:14,2457350.120,null
2015-11-23 16:39:41,2457350.194,null
2016-01-01 02:19:50,2457388.597,null
2016-02-07 07:35:51,2457425.817,null
2016-02-07 09:22:40,2457425.891,null
2016-02-07 13:36:24,2457426.067,null
2016-02-15 07:41:49,2457433.821,null
2016-02-15 09:28:16,2457433.895,null
2016-02-15 13:42:11,2457434.071,null
2016-02-15 15:28:25,2457434.145,null

