Gaia15aby
#Date,JD,averagemag.
2014-09-04 18:05:16,2456905.254,null
2014-09-04 19:51:51,2456905.328,null
2014-12-22 05:24:05,2457013.725,null
2014-12-22 09:37:46,2457013.901,null
2015-01-17 15:28:31,2457040.145,null
2015-02-11 05:12:48,2457064.717,18.33
2015-02-11 09:26:29,2457064.893,18.36
2015-07-05 23:08:11,2457209.464,null
2015-08-04 22:49:59,2457239.451,null
2015-08-28 22:47:24,2457263.450,null
2015-08-29 00:33:58,2457263.524,null
2016-01-01 16:48:06,2457389.200,null
2016-01-01 18:34:36,2457389.274,null
2016-01-31 22:25:32,2457419.434,null

