Gaia15acc
#Date,JD,averagemag.
2014-08-22 22:23:34,2456892.433,null
2014-08-23 02:37:28,2456892.609,null
2014-08-23 04:23:34,2456892.683,null
2014-08-23 08:37:19,2456892.859,null
2014-08-23 10:24:02,2456892.933,null
2014-08-23 14:37:56,2456893.110,null
2014-08-23 16:24:23,2456893.184,null
2015-01-23 06:48:13,2457045.783,null
2015-01-23 08:34:33,2457045.857,null
2015-02-10 12:41:40,2457064.029,18.89
2015-02-10 14:28:13,2457064.103,18.84
2015-06-30 01:44:30,2457203.573,null
2015-06-30 03:31:04,2457203.647,null
2015-08-04 13:16:31,2457239.053,null
2015-08-04 15:03:21,2457239.127,null
2015-08-19 21:11:50,2457254.383,null
2015-08-20 01:25:36,2457254.559,null
2016-01-03 02:24:33,2457390.600,null
2016-02-07 21:31:46,2457426.397,null
2016-02-08 01:45:31,2457426.573,null
2016-02-18 01:51:53,2457436.578,null
2016-02-18 03:29:38,2457436.646,20.51
2016-02-18 07:51:51,2457436.828,null
2016-02-18 09:29:51,2457436.896,20.68

