Gaia15acu
#Date,JD,averagemag.
2014-09-16 09:27:57,2456916.894,null
2014-09-16 13:41:42,2456917.071,null
2014-10-19 06:41:23,2456949.779,null
2014-11-21 10:21:52,2456982.932,null
2014-11-21 12:08:02,2456983.006,null
2014-12-07 18:11:50,2456999.258,null
2014-12-07 22:25:04,2456999.434,null
2015-03-10 20:23:09,2457092.349,18.85
2015-03-11 00:36:48,2457092.526,18.89
2015-03-11 02:23:22,2457092.600,18.93
2015-03-20 18:42:34,2457102.280,19.39
2015-03-20 20:29:08,2457102.354,19.34
2015-04-27 23:50:35,2457140.493,null
2015-04-28 01:36:42,2457140.567,null
2015-06-06 13:08:25,2457180.048,null
2015-06-06 13:08:25,2457180.048,null
2015-06-06 17:22:11,2457180.224,null
2015-06-06 17:22:11,2457180.224,null
2015-06-06 19:08:26,2457180.298,null
2015-06-06 19:08:26,2457180.298,null
2015-06-06 23:22:19,2457180.474,null
2015-06-06 23:22:19,2457180.474,null
2015-06-16 07:16:50,2457189.803,null
2015-09-11 12:25:53,2457277.018,null
2015-09-11 14:12:18,2457277.092,null
2015-09-11 18:26:17,2457277.268,null
2015-09-11 20:12:39,2457277.342,null
2015-09-12 00:26:09,2457277.518,null
2015-10-30 01:51:08,2457325.577,null
2015-12-06 17:17:58,2457363.221,null
2015-12-06 19:04:55,2457363.295,null
2015-12-15 13:10:24,2457372.049,null
2015-12-15 17:24:01,2457372.225,null

