Gaia15ada
#Date,JD,averagemag.
2014-09-02 07:04:18,2456902.795,null
2014-09-02 08:51:08,2456902.869,null
2014-10-12 16:16:19,2456943.178,null
2014-10-12 18:03:08,2456943.252,null
2014-11-13 09:52:13,2456974.911,null
2014-12-07 09:42:12,2456998.904,null
2014-12-07 11:28:27,2456998.978,null
2015-01-15 20:29:14,2457038.354,null
2015-01-15 22:15:36,2457038.428,null
2015-01-28 16:21:02,2457051.181,null
2015-03-11 19:12:54,2457093.301,18.41
2015-03-11 20:59:28,2457093.375,18.45
2015-03-29 08:57:17,2457110.873,null
2015-05-05 18:23:46,2457148.267,null
2015-06-07 06:05:22,2457180.754,null
2015-06-07 06:05:22,2457180.754,null
2015-06-07 07:52:18,2457180.828,null
2015-06-07 07:52:18,2457180.828,null
2015-07-05 06:04:59,2457208.753,null
2015-07-05 07:51:14,2457208.827,null
2015-08-23 17:44:15,2457258.239,null
2015-08-23 19:30:48,2457258.313,null
2015-08-23 23:44:36,2457258.489,null
2015-09-16 17:50:43,2457282.244,null
2015-09-16 19:37:08,2457282.317,null
2015-10-24 13:11:11,2457320.049,null
2015-11-26 22:50:05,2457353.451,null
2016-02-08 21:30:51,2457427.396,null
2016-02-08 23:17:41,2457427.471,null

