Gaia15adb
#Date,JD,averagemag.
2014-10-04 11:33:01,2456934.981,null
2014-12-06 09:04:41,2456997.878,null
2015-01-08 08:36:57,2457030.859,null
2015-01-08 10:23:22,2457030.933,null
2015-02-04 10:12:36,2457057.925,null
2015-03-11 07:42:40,2457092.821,17.3
2015-03-11 09:29:15,2457092.895,17.21
2015-04-05 21:26:26,2457118.393,null
2015-05-12 14:41:25,2457155.112,null
2015-06-08 06:42:56,2457181.780,null
2015-06-08 06:42:56,2457181.780,null
2015-07-14 19:46:10,2457218.324,null
2015-09-16 18:55:57,2457282.289,null
2015-10-17 12:36:50,2457313.026,null
2015-10-17 16:50:22,2457313.202,null
2015-11-19 10:24:57,2457345.934,null
2015-11-19 12:11:54,2457346.008,null
2015-12-18 17:56:36,2457375.248,null
2016-02-16 15:30:57,2457435.146,null
2016-02-16 17:17:48,2457435.221,null

