Gaia15ads
#Date,JD,averagemag.
2014-09-18 12:07:08,2456919.005,null
2014-10-02 03:16:46,2456932.637,null
2014-10-02 05:03:36,2456932.711,null
2014-10-27 15:16:18,2456958.136,null
2014-10-27 17:02:52,2456958.210,null
2014-10-27 21:16:35,2456958.387,null
2014-10-27 23:03:09,2456958.461,null
2014-12-14 20:55:16,2457006.372,null
2014-12-14 22:41:39,2457006.446,null
2014-12-15 02:55:24,2457006.622,null
2015-01-07 03:02:35,2457029.627,null
2015-01-07 04:49:00,2457029.701,null
2015-02-11 08:42:23,2457064.863,null
2015-03-17 14:07:01,2457099.088,18.62
2015-03-17 15:53:35,2457099.162,18.67
2015-04-06 21:56:22,2457119.414,null
2015-04-07 02:10:04,2457119.590,null
2015-05-20 06:49:19,2457162.784,null
2015-05-20 08:36:14,2457162.859,null
2015-06-01 02:42:35,2457174.613,null
2015-06-01 06:52:34,2457174.787,20.96
2015-06-01 08:43:01,2457174.863,null
2015-08-06 01:14:32,2457240.552,null
2015-09-10 04:49:31,2457275.701,null
2015-09-10 06:36:01,2457275.775,null
2015-10-17 12:07:37,2457313.005,null
2015-10-17 16:21:03,2457313.181,null
2015-10-17 18:07:18,2457313.255,null
2015-11-09 16:26:39,2457336.185,null
2015-11-09 18:13:06,2457336.259,null
2015-12-27 11:53:10,2457383.995,null
2015-12-27 16:06:48,2457384.171,null

