Gaia15adx
#Date,JD,averagemag.
2014-09-16 10:52:56,2456916.953,null
2014-10-04 00:16:16,2456934.511,null
2014-10-04 02:02:48,2456934.585,null
2014-10-25 06:27:46,2456955.769,null
2014-10-25 08:14:32,2456955.843,null
2014-10-25 12:28:08,2456956.020,null
2014-12-17 06:17:22,2457008.762,null
2014-12-17 08:04:26,2457008.836,null
2015-01-09 06:22:53,2457031.766,null
2015-01-09 08:09:43,2457031.840,null
2015-02-11 11:58:45,2457064.999,null
2015-03-19 05:00:49,2457100.709,18.89
2015-03-19 06:47:23,2457100.783,18.9
2015-05-21 03:30:12,2457163.646,null
2015-05-21 05:16:45,2457163.720,null
2015-05-21 09:30:10,2457163.896,null
2015-05-29 15:35:51,2457172.150,null
2015-05-29 17:22:25,2457172.224,null
2015-07-13 14:13:53,2457217.093,null
2015-09-08 07:46:34,2457273.824,null
2015-10-20 19:27:44,2457316.311,null
2015-10-20 21:14:05,2457316.385,null
2015-10-21 01:27:42,2457316.561,null
2015-10-21 03:14:15,2457316.635,null
2015-11-07 03:27:41,2457333.644,null
2015-11-07 07:41:23,2457333.820,null
2015-11-07 09:27:42,2457333.894,null
2015-11-07 13:41:22,2457334.070,null
2015-12-29 01:28:40,2457385.562,null
2015-12-29 03:15:25,2457385.636,null
2016-01-24 01:25:37,2457411.559,null
2016-01-24 03:12:11,2457411.633,null

