Gaia15aej
#Date,JD,averagemag.
2014-09-07 10:53:45,2456907.954,null
2014-09-07 12:40:13,2456908.028,null
2014-10-12 14:03:13,2456943.086,null
2014-10-12 15:49:28,2456943.159,null
2015-03-02 15:32:47,2457084.148,null
2015-03-28 03:29:05,2457109.645,18.7
2015-03-28 05:15:40,2457109.719,18.68
2015-04-24 11:09:41,2457136.965,20.21
2015-04-24 15:16:45,2457137.137,null
2015-08-30 17:20:31,2457265.223,null
2015-09-28 15:19:12,2457294.138,null
2015-09-28 17:05:30,2457294.212,null
2015-10-23 03:09:00,2457318.631,null

