Gaia15aeo
#Date,JD,averagemag.
2014-09-06 08:14:00,2456906.843,null
2014-09-06 10:00:49,2456906.917,null
2014-10-09 05:25:21,2456939.726,null
2015-02-24 00:35:01,2457077.524,null
2015-02-24 02:21:53,2457077.599,null
2015-03-31 00:00:47,2457112.501,null
2015-03-31 01:47:02,2457112.574,null
2015-04-13 18:08:01,2457126.256,18.17
2015-04-13 19:54:35,2457126.330,18.18
2015-04-14 00:08:14,2457126.506,18.12
2015-04-14 01:54:47,2457126.580,18.28
2015-08-29 18:53:14,2457264.287,null
2015-08-29 20:40:17,2457264.361,null
2015-10-06 00:19:26,2457301.514,null
2015-10-06 00:19:26,2457301.514,null
2015-10-06 02:06:16,2457301.588,null
2015-10-06 02:06:16,2457301.588,null
2015-10-17 08:14:26,2457312.843,null
2015-10-17 12:28:13,2457313.020,null
2016-01-30 22:11:45,2457418.425,null

