Gaia15aet
#Date,JD,averagemag.
2014-09-20 15:37:51,2456921.151,null
2014-09-20 19:51:20,2456921.327,null
2014-09-20 21:37:52,2456921.401,null
2014-10-21 18:46:53,2456952.283,null
2014-11-22 16:32:29,2456984.189,null
2014-11-22 18:19:19,2456984.263,null
2014-12-10 04:35:51,2457001.692,null
2014-12-10 06:22:08,2457001.765,null
2015-04-26 23:43:54,2457139.489,16.78
2015-04-27 01:30:28,2457139.563,16.95
2015-06-02 06:56:40,2457175.789,null
2015-06-02 11:08:46,2457175.964,null
2015-06-02 12:56:31,2457176.039,null
2015-11-01 12:10:21,2457328.007,null
2015-12-08 05:30:02,2457364.729,null
2015-12-08 07:16:30,2457364.803,null
2015-12-17 13:22:33,2457374.057,null
2015-12-17 17:36:39,2457374.234,null
2015-12-17 19:22:58,2457374.308,null

