Gaia15aeu
#Date,JD,averagemag.
2014-07-29 06:43:38,2456867.780,null
2014-07-29 10:57:06,2456867.956,null
2014-07-29 12:43:56,2456868.031,null
2014-07-29 16:57:41,2456868.207,null
2014-07-29 18:43:56,2456868.281,null
2014-11-04 00:53:37,2456965.537,null
2014-11-04 05:07:22,2456965.713,null
2014-11-20 05:12:06,2456981.717,null
2014-11-20 06:58:20,2456981.791,null
2014-12-23 04:38:27,2457014.693,null
2015-04-30 23:06:39,2457143.463,15.38
2015-05-01 00:53:13,2457143.537,15.48
2015-05-20 00:55:20,2457162.538,null
2015-05-20 05:09:17,2457162.715,null
2015-11-13 06:11:07,2457339.758,null
2015-11-13 07:57:40,2457339.832,null
2015-12-04 18:08:24,2457361.256,null
2015-12-04 19:54:50,2457361.330,null
2016-01-02 13:35:03,2457390.066,null

