Gaia15aev
#Date,JD,averagemag.
2014-08-09 18:06:29,2456879.255,null
2014-08-10 00:06:39,2456879.505,null
2014-08-10 01:53:15,2456879.579,null
2014-08-10 06:07:00,2456879.755,null
2014-08-10 07:53:40,2456879.829,null
2014-08-10 12:07:08,2456880.005,null
2014-08-10 13:53:47,2456880.079,null
2014-08-10 19:53:50,2456880.329,null
2014-09-02 02:15:41,2456902.594,null
2014-09-02 08:16:04,2456902.844,null
2014-09-02 14:16:37,2456903.095,null
2014-10-22 09:58:04,2456952.915,null
2014-10-22 11:44:39,2456952.989,null
2014-10-22 15:58:00,2456953.165,null
2014-10-22 17:44:35,2456953.239,null
2014-10-22 21:58:29,2456953.416,null
2014-11-05 22:07:21,2456967.422,null
2014-11-05 23:54:01,2456967.496,null
2014-11-06 04:07:39,2456967.672,null
2014-11-06 05:53:50,2456967.746,null
2014-12-15 03:39:45,2457006.653,null
2015-01-17 21:02:24,2457040.377,null
2015-01-17 22:49:13,2457040.451,null
2015-02-04 09:05:42,2457057.879,null
2015-02-04 10:52:08,2457057.953,null
2015-05-11 06:05:49,2457153.754,null
2015-05-11 07:52:23,2457153.828,null
2015-05-30 00:10:03,2457172.507,null
2015-07-04 17:26:30,2457208.227,17.28
2015-07-04 19:13:04,2457208.301,17.19
2015-08-29 17:07:29,2457264.214,17.45
2015-08-29 18:54:03,2457264.288,17.44
2015-08-29 23:07:42,2457264.464,17.44
2015-08-30 00:54:16,2457264.538,17.43
2015-08-30 05:07:56,2457264.714,17.46
2015-08-30 06:54:30,2457264.788,17.44
2015-11-01 23:06:23,2457328.463,18.4
2015-11-02 00:52:58,2457328.537,18.32
2015-11-02 05:06:38,2457328.713,18.36
2015-11-22 23:14:42,2457349.469,18.54
2015-11-23 01:01:16,2457349.543,18.52
2015-12-26 00:40:08,2457382.528,18.77
2016-01-31 11:52:21,2457418.995,19.21
2016-02-13 23:58:58,2457432.499,19.17
2016-02-14 04:12:38,2457432.675,19.22

