Gaia15afc
#Date,JD,averagemag.
2014-09-22 18:30:12,2456923.271,null
2014-10-07 03:40:43,2456937.653,null
2014-10-07 05:27:28,2456937.727,null
2014-11-05 15:32:13,2456967.147,null
2014-12-09 09:11:12,2457000.883,null
2014-12-09 10:57:28,2457000.957,null
2015-01-10 20:45:51,2457033.365,null
2015-02-05 02:37:37,2457058.609,null
2015-02-05 04:24:28,2457058.684,null
2015-03-14 07:45:02,2457095.823,null
2015-04-03 13:45:14,2457116.073,null
2015-04-03 15:32:02,2457116.147,null
2015-05-13 00:36:22,2457155.525,18.33
2015-05-13 02:22:56,2457155.599,18.4
2015-07-12 05:47:58,2457215.742,19.97
2015-07-12 07:34:32,2457215.816,20.03
2015-09-13 11:13:04,2457278.967,null
2015-09-13 12:59:41,2457279.041,null
2015-10-20 16:47:41,2457316.200,null
2015-10-20 18:34:16,2457316.274,null
2015-12-21 12:05:18,2457378.004,null
2016-02-16 17:28:28,2457435.228,null

