Gaia15aff
#Date,JD,averagemag.
2014-09-26 03:57:34,2456926.665,null
2014-11-03 14:54:25,2456965.121,18.24
2014-11-03 16:40:58,2456965.195,18.15
2014-11-30 14:38:33,2456992.110,18.3
2014-12-30 08:19:53,2457021.847,null
2014-12-30 10:06:27,2457021.921,null
2015-02-09 03:39:55,2457062.653,18.03
2015-02-09 07:53:35,2457062.829,18.1
2015-03-05 07:59:50,2457086.833,18.0
2015-03-05 09:54:33,2457086.913,null
2015-04-14 21:23:45,2457127.391,17.6
2015-05-17 01:20:14,2457159.556,17.14
2015-05-17 03:06:48,2457159.630,17.17
2015-06-13 01:11:34,2457186.550,16.97
2015-10-09 04:54:09,2457304.704,17.52
2015-11-14 23:45:37,2457341.490,18.01
2015-12-14 09:38:39,2457370.902,18.52
2015-12-14 11:25:13,2457370.976,18.52
2016-01-11 15:31:19,2457399.147,null
2016-01-11 17:17:40,2457399.221,null
2016-02-23 09:03:08,2457441.877,19.08
2016-02-23 10:49:43,2457441.951,18.96
2016-03-19 09:08:35,2457466.881,19.02
2016-03-19 09:17:16,2457466.887,null
2016-03-19 10:55:09,2457466.955,18.84

