Gaia15afj
#Date,JD,averagemag.
2014-09-01 09:05:42,2456901.879,null
2014-09-01 10:52:19,2456901.953,null
2014-09-01 15:05:55,2456902.129,null
2014-09-01 16:52:31,2456902.203,null
2014-09-01 21:05:56,2456902.379,null
2014-12-20 00:54:44,2457011.538,null
2014-12-20 02:41:34,2457011.612,null
2015-01-18 18:32:26,2457041.273,null
2015-02-08 18:28:07,2457062.270,null
2015-02-08 20:14:58,2457062.344,null
2015-05-17 14:49:11,2457160.117,18.91
2015-05-17 16:35:46,2457160.192,19.13
2015-05-17 20:49:27,2457160.368,18.94
2015-05-17 22:36:01,2457160.442,18.95
2015-05-18 02:49:42,2457160.618,19.01
2015-05-22 02:53:35,2457164.621,19.13
2015-05-22 04:40:10,2457164.695,19.01
2015-05-22 08:53:51,2457164.871,18.92
2015-05-22 10:40:59,2457164.945,null
2015-05-22 14:54:06,2457165.121,18.95
2015-05-22 16:40:41,2457165.195,19.07
2015-07-04 09:53:37,2457207.912,19.36
2015-08-27 01:48:09,2457261.575,null
2015-08-27 03:35:02,2457261.649,null
2015-08-27 07:48:38,2457261.825,null
2015-12-30 15:51:16,2457387.161,null
2016-02-01 21:13:56,2457420.385,null
2016-02-02 01:27:34,2457420.561,null
2016-02-18 03:17:10,2457436.637,null

