Gaia15afk
#Date,JD,averagemag.
2014-08-14 05:44:38,2456883.739,null
2014-08-14 07:31:14,2456883.813,null
2014-08-14 11:44:46,2456883.989,null
2014-08-14 13:31:10,2456884.063,null
2014-08-14 17:44:42,2456884.239,null
2014-08-14 19:31:34,2456884.314,null
2014-12-20 11:46:59,2457011.991,null
2015-01-22 21:26:49,2457045.394,null
2015-01-22 23:13:10,2457045.467,null
2015-02-06 15:33:26,2457060.148,null
2015-02-06 17:19:54,2457060.222,null
2015-05-12 05:41:25,2457154.737,null
2015-05-12 07:27:59,2457154.811,null
2015-05-12 11:41:38,2457154.987,17.58
2015-05-12 13:28:12,2457155.061,17.68
2015-05-22 05:47:35,2457164.741,17.61
2015-05-22 07:34:09,2457164.815,17.86
2015-05-22 11:47:48,2457164.992,17.83
2015-08-16 18:26:49,2457251.269,null
2015-11-13 13:21:32,2457340.057,null
2015-11-13 17:35:19,2457340.233,null
2015-11-13 19:21:34,2457340.307,null
2015-11-13 23:35:29,2457340.483,null
2015-11-25 05:42:35,2457351.738,null
2015-11-25 07:29:08,2457351.812,null
2015-11-25 11:42:40,2457351.988,null
2015-11-25 13:29:08,2457352.062,null
2015-12-30 23:10:18,2457387.465,null
2015-12-31 00:57:02,2457387.540,null
2016-02-08 16:26:35,2457427.185,null
2016-02-08 18:13:09,2457427.259,null
2016-02-08 22:26:51,2457427.435,null
2016-02-09 00:13:33,2457427.509,null
2016-02-09 04:27:01,2457427.685,null
2016-02-09 06:13:41,2457427.760,null
2016-02-09 10:27:21,2457427.936,null
2016-02-09 12:14:11,2457428.010,null
2016-02-12 00:16:45,2457430.512,null
2016-02-12 04:30:10,2457430.688,null
2016-02-12 06:16:39,2457430.762,null
2016-02-12 10:30:19,2457430.938,null
2016-02-12 12:16:50,2457431.012,null
2016-02-12 16:31:00,2457431.188,null
2016-02-12 18:17:28,2457431.262,null
2016-02-12 22:30:46,2457431.438,null

