Gaia15afo
#Date,JD,averagemag.
2014-09-28 18:35:50,2456929.275,null
2014-09-28 20:22:40,2456929.349,null
2014-11-01 18:07:27,2456963.255,null
2014-12-05 17:49:05,2456997.242,null
2015-01-02 01:34:02,2457024.565,null
2015-01-02 05:48:06,2457024.742,null
2015-02-09 23:24:29,2457063.475,null
2015-02-10 01:11:02,2457063.549,null
2015-03-11 11:12:43,2457092.967,null
2015-03-11 12:59:18,2457093.041,null
2015-04-11 04:51:56,2457123.703,null
2015-05-17 22:00:47,2457160.417,18.12
2015-05-17 23:47:21,2457160.491,18.26
2015-06-08 09:57:56,2457181.915,null
2015-06-08 09:57:56,2457181.915,null
2015-06-08 11:44:00,2457181.989,null
2015-07-19 22:29:34,2457223.437,null
2015-07-20 02:43:19,2457223.613,null
2015-09-16 09:32:03,2457281.897,null
2015-10-12 07:37:18,2457307.818,null
2015-10-12 09:24:11,2457307.892,null
2015-11-13 19:16:18,2457340.303,null
2015-11-13 21:02:34,2457340.377,null
2015-12-19 18:56:34,2457376.289,null
2015-12-19 18:56:34,2457376.289,null

