Gaia15age
#Date,JD,averagemag.
2014-09-18 04:37:29,2456918.693,null
2014-09-27 18:11:29,2456928.258,null
2014-09-27 19:58:19,2456928.332,null
2014-10-25 01:55:32,2456955.580,null
2014-10-25 06:09:02,2456955.756,null
2014-12-22 12:04:33,2457014.003,null
2014-12-22 18:04:47,2457014.253,null
2014-12-22 19:51:28,2457014.327,null
2014-12-23 00:04:59,2457014.503,null
2014-12-23 01:51:47,2457014.578,null
2014-12-23 06:05:19,2457014.754,null
2014-12-23 07:52:02,2457014.828,null
2014-12-23 12:05:44,2457015.004,null
2014-12-23 13:52:28,2457015.078,null
2014-12-23 18:05:51,2457015.254,null
2014-12-23 19:52:42,2457015.328,null
2014-12-24 00:06:14,2457015.504,null
2014-12-24 01:52:56,2457015.578,null
2014-12-24 06:06:23,2457015.754,null
2014-12-24 07:53:12,2457015.829,null
2014-12-24 12:06:30,2457016.005,null
2014-12-24 13:53:19,2457016.079,null
2014-12-24 18:07:14,2457016.255,null
2014-12-24 19:53:27,2457016.329,null
2014-12-25 00:07:05,2457016.505,null
2014-12-25 01:53:56,2457016.579,null
2014-12-25 06:07:26,2457016.755,null
2014-12-25 07:53:49,2457016.829,null
2014-12-25 12:07:51,2457017.005,null
2014-12-25 13:54:05,2457017.079,null
2014-12-25 18:08:09,2457017.256,null
2014-12-25 19:54:41,2457017.330,null
2014-12-26 00:08:21,2457017.506,null
2014-12-26 01:54:37,2457017.580,null
2014-12-26 06:08:44,2457017.756,null
2014-12-26 07:54:56,2457017.830,null
2014-12-26 12:08:58,2457018.006,null
2014-12-26 13:55:09,2457018.080,null
2014-12-26 18:09:10,2457018.256,null
2014-12-26 19:55:42,2457018.330,null
2014-12-27 00:09:30,2457018.507,null
2014-12-27 01:56:01,2457018.581,null
2014-12-27 06:09:28,2457018.757,null
2014-12-27 12:09:55,2457019.007,null
2015-02-15 05:48:44,2457068.742,null
2015-03-17 19:10:55,2457099.299,null
2015-04-10 11:14:30,2457122.968,null
2015-04-10 13:01:01,2457123.042,null
2015-05-29 21:54:33,2457172.413,16.92
2015-05-29 23:41:07,2457172.487,16.98
2015-05-30 03:55:14,2457172.663,null
2015-05-30 05:41:21,2457172.737,17.13
2015-05-30 09:55:00,2457172.913,16.9
2015-05-30 11:41:35,2457172.987,16.97
2015-07-18 22:01:29,2457222.418,null
2015-07-19 02:14:59,2457222.594,null
2015-09-10 07:31:50,2457275.814,null
2015-09-10 09:18:11,2457275.888,null
2015-10-12 19:14:56,2457308.302,null
2015-10-12 21:01:07,2457308.376,null
2015-11-05 15:07:29,2457332.130,null
2015-11-05 19:21:18,2457332.306,null
2016-01-02 01:14:52,2457389.552,null
2016-01-02 03:01:41,2457389.626,null
2016-01-02 07:15:39,2457389.803,null
2016-01-02 09:01:53,2457389.876,null
2016-01-02 13:15:38,2457390.053,null
2016-01-02 15:02:20,2457390.127,null

