Gaia15agk
#Date,JD,averagemag.
2014-09-19 10:25:02,2456919.934,null
2014-09-19 12:11:17,2456920.008,null
2014-09-19 16:24:46,2456920.184,null
2014-09-19 18:11:38,2456920.258,null
2014-09-19 22:25:20,2456920.434,null
2014-09-20 00:11:35,2456920.508,null
2014-09-20 04:25:20,2456920.684,null
2014-09-20 06:12:17,2456920.759,null
2014-09-20 10:25:57,2456920.935,null
2014-09-20 12:12:12,2456921.008,null
2014-09-20 16:25:49,2456921.185,null
2014-09-20 18:12:34,2456921.259,null
2014-09-20 22:26:13,2456921.435,null
2014-09-21 00:13:03,2456921.509,null
2014-09-21 06:12:59,2456921.759,null
2014-09-21 12:13:30,2456922.009,null
2014-09-21 18:13:42,2456922.260,null
2014-09-22 00:13:38,2456922.509,null
2014-09-22 06:13:53,2456922.760,null
2014-09-22 12:14:21,2456923.010,null
2014-09-22 18:14:28,2456923.260,null
2014-09-23 06:15:11,2456923.761,null
2014-09-23 10:28:39,2456923.937,null
2014-09-23 12:15:20,2456924.011,null
2014-09-23 16:29:07,2456924.187,null
2014-09-23 18:15:48,2456924.261,null
2014-09-24 04:29:07,2456924.687,null
2014-09-24 06:15:47,2456924.761,null
2014-10-19 03:20:31,2456949.639,null
2014-11-16 21:04:44,2456978.378,null
2014-12-10 13:09:22,2457002.048,null
2015-03-17 05:38:02,2457098.735,null
2015-03-17 09:52:07,2457098.911,null
2015-03-17 11:38:09,2457098.985,null
2015-03-17 15:51:56,2457099.161,null
2015-03-17 17:38:46,2457099.235,null
2015-03-17 21:52:10,2457099.411,null
2015-03-17 23:39:03,2457099.485,null
2015-03-18 03:52:32,2457099.661,null
2015-03-18 05:38:50,2457099.735,null
2015-03-18 09:52:54,2457099.912,null
2015-03-18 15:53:14,2457100.162,null
2015-03-18 21:53:23,2457100.412,null
2015-03-19 03:53:40,2457100.662,null
2015-03-19 09:53:29,2457100.912,null
2015-03-19 11:40:22,2457100.986,null
2015-03-19 15:54:01,2457101.163,null
2015-03-19 17:40:19,2457101.236,null
2015-03-19 21:53:53,2457101.412,null
2015-03-19 23:40:30,2457101.486,null
2015-03-20 03:54:29,2457101.663,null
2015-03-20 05:41:06,2457101.737,null
2015-03-20 09:54:34,2457101.913,null
2015-03-20 11:40:57,2457101.987,null
2015-05-02 14:55:53,2457145.122,null
2015-06-03 02:40:59,2457176.612,18.62
2015-06-03 04:27:34,2457176.686,18.82
2015-06-26 14:46:45,2457200.116,19.52
2015-06-26 16:33:20,2457200.190,19.39
2015-10-30 02:44:07,2457325.614,null
2015-10-30 04:30:22,2457325.688,null
2015-12-01 02:14:27,2457357.593,null
2015-12-20 08:13:13,2457376.843,null
2015-12-20 10:00:03,2457376.917,null

