Gaia15agl
#Date,JD,averagemag.
2014-10-20 15:22:22,2456951.141,null
2014-11-17 07:23:22,2456978.808,null
2014-12-11 13:13:19,2457003.051,null
2014-12-11 15:00:18,2457003.125,null
2015-05-02 08:51:05,2457144.869,null
2015-06-01 20:36:47,2457175.359,18.52
2015-06-01 22:23:21,2457175.433,18.72
2015-06-25 14:41:03,2457199.112,19.26
2015-06-25 16:27:37,2457199.186,19.13
2015-10-31 10:32:21,2457326.939,null
2015-12-01 14:19:14,2457358.097,null
2015-12-21 08:18:15,2457377.846,null
2015-12-21 10:04:30,2457377.920,null
2016-03-24 18:29:29,2457472.270,null
2016-03-24 22:39:15,2457472.444,19.96
2016-03-25 00:30:04,2457472.521,null
2016-04-02 10:49:49,2457480.951,null
2016-04-02 12:32:55,2457481.023,19.99

