Gaia16aag
#Date,JD,averagemag.
2014-10-31 12:23:03,2456962.016,null
2015-01-06 12:04:19,2457029.003,null
2015-02-09 13:27:58,2457063.061,null
2015-03-14 23:06:30,2457096.463,null
2015-03-15 00:53:16,2457096.537,null
2015-04-07 16:56:56,2457120.206,null
2015-05-17 17:30:37,2457160.230,null
2015-05-17 21:43:49,2457160.405,null
2015-07-16 02:31:01,2457219.605,null
2015-09-12 21:37:12,2457278.401,null
2015-10-16 07:34:15,2457311.815,null
2015-10-16 09:20:31,2457311.889,null
2015-11-13 09:19:54,2457339.889,null
2015-11-13 13:33:46,2457340.065,null
2015-12-23 15:00:35,2457380.125,null
2016-01-20 13:03:43,2457408.044,18.77
2016-01-20 14:50:17,2457408.118,18.73
2016-02-21 08:27:08,2457439.852,20.39

