Gaia16aai
#Date,JD,averagemag.
2014-10-30 00:32:18,2456960.522,null
2014-10-30 02:19:04,2456960.597,null
2014-10-30 06:32:41,2456960.773,null
2015-01-09 06:12:42,2457031.759,null
2015-02-09 11:52:09,2457062.995,null
2015-03-17 05:02:12,2457098.710,null
2015-05-17 21:32:25,2457160.398,null
2015-06-02 03:35:42,2457175.650,null
2015-07-13 16:10:26,2457217.174,null
2015-09-10 07:53:30,2457275.829,null
2015-09-10 09:40:21,2457275.903,null
2015-10-19 15:21:01,2457315.140,null
2015-10-19 19:34:37,2457315.316,null
2015-11-12 21:30:47,2457339.396,null
2015-11-13 01:44:33,2457339.573,null
2015-12-25 19:24:53,2457382.309,null
2015-12-25 21:11:24,2457382.383,null
2016-01-23 07:08:18,2457410.797,17.82
2016-01-23 08:54:51,2457410.871,17.65
2016-02-20 18:49:08,2457439.284,18.61
2016-02-20 20:35:42,2457439.358,18.61
2016-03-29 05:50:46,2457476.744,19.89
2016-03-29 07:37:20,2457476.818,19.76

