Gaia16aak
#Date,JD,averagemag.
2015-02-16 02:57:36,2457069.623,null
2015-02-16 04:43:59,2457069.697,null
2015-04-08 02:31:14,2457120.605,null
2015-04-08 04:18:06,2457120.679,null
2015-07-15 11:12:31,2457218.967,null
2015-07-15 12:58:45,2457219.041,null
2015-07-31 11:16:31,2457234.970,null
2015-07-31 13:02:36,2457235.043,null
2015-09-05 22:32:40,2457271.439,null
2015-09-06 00:19:12,2457271.513,null
2015-10-17 11:46:11,2457312.990,null
2015-10-17 16:00:03,2457313.167,null
2015-10-17 17:46:42,2457313.241,null
2015-10-17 22:00:12,2457313.417,null
2015-10-17 23:46:50,2457313.491,null
2015-10-18 04:00:32,2457313.667,null
2015-10-24 22:05:23,2457320.420,null
2015-10-25 04:05:57,2457320.671,null
2015-10-25 05:52:11,2457320.745,null
2015-10-25 10:05:48,2457320.921,null
2015-10-25 11:52:38,2457320.995,null
2015-10-25 16:06:09,2457321.171,null
2015-10-25 17:52:48,2457321.245,null
2016-01-06 18:07:28,2457394.255,null
2016-01-06 22:21:08,2457394.431,null
2016-01-07 00:07:39,2457394.505,null
2016-01-23 10:32:39,2457410.939,18.54
2016-01-23 12:19:13,2457411.013,18.49
2016-01-23 16:32:55,2457411.190,18.68
2016-02-26 22:09:54,2457445.424,19.83
2016-02-26 23:56:28,2457445.498,19.61

