Gaia16aan
#Date,JD,averagemag.
2014-09-12 07:23:00,2456912.808,null
2014-10-15 20:45:37,2456946.365,null
2014-10-15 22:32:11,2456946.439,null
2015-02-19 04:51:43,2457072.703,20.33
2015-02-19 09:05:24,2457072.879,20.27
2015-04-10 14:43:09,2457123.113,null
2015-04-10 16:29:37,2457123.187,null
2015-07-18 05:01:45,2457221.710,19.22
2015-07-18 06:48:19,2457221.784,19.24
2015-07-26 12:56:29,2457230.039,null
2015-07-26 17:10:13,2457230.215,null
2015-07-26 18:56:28,2457230.289,null
2015-09-04 18:04:23,2457270.253,19.07
2015-10-12 05:30:01,2457307.729,18.97
2015-10-12 09:46:36,2457307.907,null
2015-10-23 21:50:41,2457319.410,18.78
2015-10-23 23:37:15,2457319.484,18.89
2015-10-24 03:53:32,2457319.662,null
2015-10-24 05:39:46,2457319.736,null
2016-01-14 18:22:26,2457402.266,18.84
2016-01-14 22:36:08,2457402.442,18.75
2016-01-15 00:22:42,2457402.516,18.51
2016-01-15 04:36:23,2457402.692,17.54
2016-01-15 06:22:58,2457402.766,17.39
2016-01-15 10:36:39,2457402.942,17.91
2016-01-21 16:42:37,2457409.196,17.59
2016-01-21 18:29:12,2457409.270,17.71
2016-01-21 22:42:53,2457409.446,19.18
2016-01-22 00:29:27,2457409.520,19.02
2016-01-22 04:43:09,2457409.697,19.38
2016-01-22 06:29:43,2457409.771,19.29
2016-02-29 22:16:33,2457448.428,19.04
2016-03-01 00:03:08,2457448.502,18.97
2016-04-07 03:38:32,2457485.652,19.72
2016-04-07 05:25:07,2457485.726,19.5

