Gaia16aas
#Date,JD,averagemag.
2014-09-18 17:17:53,2456919.221,null
2014-09-18 21:31:03,2456919.397,null
2014-10-10 06:40:39,2456940.778,null
2014-10-10 08:27:29,2456940.852,null
2014-10-10 12:41:13,2456941.029,null
2014-10-10 14:28:02,2456941.103,null
2014-11-04 00:50:31,2456965.535,null
2014-11-04 02:36:47,2456965.609,null
2014-12-12 06:29:22,2457003.770,null
2014-12-12 08:16:04,2457003.844,null
2015-01-12 19:52:06,2457035.328,null
2015-02-05 23:56:22,2457059.497,null
2015-03-17 04:44:12,2457098.697,null
2015-03-17 06:30:50,2457098.771,null
2015-04-01 06:33:33,2457113.773,null
2015-05-13 15:21:10,2457156.140,null
2015-06-02 09:19:33,2457175.889,null
2015-06-02 11:06:14,2457175.963,null
2015-07-10 02:31:16,2457213.605,null
2015-09-09 14:10:51,2457275.091,null
2015-09-09 15:57:13,2457275.165,null
2015-10-24 07:53:03,2457319.829,null
2015-10-24 09:39:18,2457319.902,null
2015-10-24 13:52:55,2457320.078,null
2015-10-24 15:39:45,2457320.153,null
2015-11-18 21:45:53,2457345.407,null
2015-11-19 01:59:28,2457345.583,null
2015-12-24 01:38:26,2457380.568,null
2016-01-26 02:42:15,2457413.613,17.97
2016-01-26 06:55:54,2457413.789,17.96
2016-03-28 07:18:24,2457475.804,20.49
2016-03-28 11:32:04,2457475.981,20.53

