Gaia16aau
#Date,JD,averagemag.
2014-08-30 03:57:40,2456899.665,null
2014-08-30 05:44:05,2456899.739,null
2014-10-10 13:10:51,2456941.049,null
2014-10-10 14:59:48,2456941.125,null
2014-11-11 20:33:37,2456973.357,20.59
2015-01-13 17:28:10,2457036.228,18.69
2015-01-13 19:14:44,2457036.302,18.64
2015-01-30 11:30:02,2457052.979,17.23
2015-01-30 13:16:36,2457053.053,17.18
2015-03-11 10:13:18,2457092.926,16.36
2015-03-11 11:59:52,2457093.000,16.31
2015-03-31 10:13:08,2457112.926,16.11
2015-05-07 03:27:05,2457149.644,null
2015-05-07 05:14:51,2457149.719,16.09
2015-06-07 21:07:49,2457181.380,null
2015-06-07 22:54:07,2457181.454,null
2015-07-08 04:53:17,2457211.704,16.77
2015-07-08 09:06:58,2457211.880,16.79
2015-08-20 08:38:00,2457254.860,null
2015-08-20 10:31:31,2457254.939,16.81
2015-09-17 02:44:59,2457282.615,16.87
2015-09-17 04:26:35,2457282.685,null
2015-10-22 20:20:31,2457318.348,16.43
2015-10-22 22:07:05,2457318.422,16.4
2015-11-25 07:45:46,2457351.823,15.72
2015-12-18 01:42:58,2457374.572,null
2015-12-18 03:23:39,2457374.641,15.41
2016-01-25 18:25:07,2457413.267,15.13
2016-01-25 18:25:07,2457413.267,null
2016-01-25 20:11:41,2457413.341,15.08
2016-02-11 00:27:48,2457429.519,15.22
2016-02-11 02:14:22,2457429.593,15.16
2016-03-21 17:14:49,2457469.219,15.35
2016-03-21 19:01:23,2457469.293,15.11
2016-03-21 19:01:23,2457469.293,null

