Gaia16abd
#Date,JD,averagemag.
2014-08-29 15:51:41,2456899.161,null
2014-08-29 17:38:24,2456899.235,null
2014-08-29 21:51:59,2456899.411,null
2014-10-11 07:07:18,2456941.797,null
2014-10-11 08:53:46,2456941.871,null
2014-11-11 02:38:33,2456972.610,null
2014-12-08 00:40:02,2456999.528,null
2014-12-08 02:26:38,2456999.602,null
2015-01-14 05:41:24,2457036.737,null
2015-01-31 05:42:52,2457053.738,null
2015-01-31 07:29:42,2457053.812,null
2015-03-12 16:21:23,2457094.182,null
2015-03-12 18:07:38,2457094.255,null
2015-03-30 22:21:27,2457112.432,null
2015-03-31 00:07:41,2457112.505,null
2015-05-07 21:23:54,2457150.392,null
2015-05-07 23:10:43,2457150.466,null
2015-07-07 20:54:06,2457211.371,null
2015-07-07 22:40:35,2457211.445,null
2015-08-19 14:31:40,2457254.105,null
2015-08-19 16:18:10,2457254.179,null
2015-09-15 08:37:23,2457280.859,null
2015-09-15 10:23:48,2457280.933,null
2015-10-23 14:16:38,2457319.095,null
2015-10-23 16:02:53,2457319.169,null
2015-11-24 19:53:47,2457351.329,null
2015-12-19 07:44:43,2457375.823,null
2015-12-19 07:44:43,2457375.823,null
2016-01-26 08:16:23,2457413.845,18.94
2016-01-26 12:30:02,2457414.021,18.92
2016-02-11 12:32:34,2457430.023,19.92
2016-02-11 14:19:08,2457430.097,19.85

