Gaia16abg
#Date,JD,averagemag.
2014-09-01 13:44:56,2456902.073,null
2014-09-01 15:31:32,2456902.147,null
2014-10-07 16:52:16,2456938.203,null
2014-10-07 18:38:50,2456938.277,null
2014-11-19 15:35:37,2456981.150,null
2014-11-19 17:22:18,2456981.224,null
2014-11-25 21:40:06,2456987.403,null
2014-11-25 23:26:39,2456987.477,null
2014-11-26 03:40:38,2456987.653,null
2015-01-10 15:40:33,2457033.153,null
2015-01-24 01:57:40,2457046.582,null
2015-03-02 12:56:44,2457084.039,null
2015-03-02 14:43:19,2457084.113,null
2015-04-02 18:33:50,2457115.274,null
2015-04-02 20:20:10,2457115.347,null
2015-04-28 00:34:49,2457140.524,null
2015-04-28 02:21:31,2457140.598,null
2015-06-25 20:15:28,2457199.344,null
2015-06-26 00:29:21,2457199.520,null
2015-06-26 02:15:37,2457199.594,null
2015-06-26 06:29:32,2457199.771,null
2015-07-11 18:42:42,2457215.280,null
2015-07-11 20:29:30,2457215.354,null
2015-07-12 00:43:05,2457215.530,null
2015-07-12 02:29:29,2457215.604,null
2015-08-24 12:25:05,2457259.017,null
2015-08-24 14:11:31,2457259.091,null
2015-09-27 07:44:41,2457292.823,null
2015-10-18 07:42:58,2457313.822,null
2015-10-18 11:56:33,2457313.998,null
2015-12-02 10:28:53,2457358.937,null
2015-12-02 12:15:46,2457359.011,null
2015-12-02 16:29:24,2457359.187,null
2015-12-02 18:16:14,2457359.261,null
2015-12-02 22:29:38,2457359.437,null
2015-12-03 00:16:03,2457359.511,null
2015-12-03 06:16:16,2457359.761,null
2015-12-05 06:18:06,2457361.763,null
2015-12-05 10:31:35,2457361.939,null
2015-12-05 12:18:16,2457362.013,null
2015-12-05 16:31:39,2457362.189,null
2015-12-05 18:18:23,2457362.263,null
2015-12-05 22:32:15,2457362.439,null
2015-12-06 00:18:46,2457362.513,null
2015-12-06 04:32:28,2457362.689,null
2016-01-20 14:55:36,2457408.122,17.37
2016-01-20 16:42:10,2457408.196,17.35
2016-02-06 10:43:15,2457424.947,17.83
2016-03-12 15:55:30,2457460.164,19.32

