Gaia16abk
#Date,JD,averagemag.
2014-08-14 00:21:01,2456883.515,null
2014-08-14 02:07:34,2456883.589,null
2014-08-14 06:21:06,2456883.765,null
2014-08-14 08:08:04,2456883.839,null
2014-08-14 12:21:36,2456884.015,null
2014-08-14 14:08:00,2456884.089,null
2014-08-14 18:21:59,2456884.265,null
2014-08-14 20:08:23,2456884.339,null
2014-08-15 02:08:12,2456884.589,null
2014-08-25 02:17:43,2456894.596,null
2014-08-25 06:30:49,2456894.771,null
2014-09-16 00:38:23,2456916.527,null
2014-09-16 02:24:51,2456916.601,null
2014-10-14 21:45:43,2456945.407,null
2014-10-15 03:46:08,2456945.657,null
2014-11-05 09:53:31,2456966.912,null
2014-11-05 11:40:01,2456966.986,null
2014-11-05 15:53:45,2456967.162,null
2014-11-05 17:40:15,2456967.236,null
2014-12-13 05:14:34,2457004.718,null
2015-01-15 02:56:03,2457037.622,null
2015-02-04 20:54:46,2457058.371,null
2015-03-19 01:36:39,2457100.567,null
2015-03-19 03:22:58,2457100.641,null
2015-03-29 03:30:24,2457110.646,null
2015-03-29 07:44:08,2457110.822,null
2015-06-01 06:20:50,2457174.764,null
2015-07-07 13:27:14,2457211.061,null
2015-09-06 17:18:42,2457272.221,null
2015-09-06 19:05:10,2457272.295,null
2015-10-27 22:55:50,2457323.455,null
2015-10-28 00:42:28,2457323.529,null
2015-11-21 04:59:19,2457347.708,null
2015-12-24 12:23:17,2457381.016,null
2016-01-28 09:59:29,2457415.916,16.92
2016-01-28 11:46:03,2457415.990,16.86
2016-02-15 10:01:37,2457433.918,17.06
2016-03-29 14:33:45,2457477.107,18.93
2016-03-29 16:20:19,2457477.181,18.9

