Gaia16abn
#Date,JD,averagemag.
2014-12-31 12:54:50,2457023.038,null
2014-12-31 14:41:12,2457023.112,null
2015-01-14 13:01:25,2457037.043,null
2015-07-09 21:22:10,2457213.390,null
2015-07-10 01:36:12,2457213.567,null
2015-07-29 13:40:59,2457233.070,null
2015-07-29 15:27:19,2457233.144,null
2015-08-31 03:05:54,2457265.629,null
2015-08-31 07:20:06,2457265.806,null
2016-01-08 20:00:14,2457396.334,null
2016-01-08 21:46:43,2457396.407,null
2016-01-29 19:54:55,2457417.330,18.3
2016-01-29 21:41:28,2457417.404,18.1
2016-02-27 19:30:50,2457446.313,18.84
2016-02-27 21:17:24,2457446.387,18.81

