Gaia16abp
#Date,JD,averagemag.
2015-02-19 03:00:59,2457072.626,null
2015-04-10 16:27:31,2457123.186,null
2015-07-18 11:05:46,2457221.962,null
2015-07-18 12:52:46,2457222.037,null
2015-07-26 23:11:48,2457230.467,null
2015-07-27 00:58:38,2457230.541,null
2015-07-27 05:12:03,2457230.717,null
2015-09-05 04:22:07,2457270.682,null
2015-09-05 06:08:44,2457270.756,null
2015-10-12 03:48:14,2457307.659,null
2015-10-12 05:34:30,2457307.732,null
2015-10-12 09:48:08,2457307.908,null
2015-10-24 21:54:59,2457320.413,null
2015-10-24 23:41:13,2457320.487,null
2015-10-25 03:55:07,2457320.663,null
2015-10-25 05:41:56,2457320.737,null
2016-01-14 18:20:26,2457402.264,18.06
2016-01-14 22:34:07,2457402.440,18.17
2016-01-15 00:20:41,2457402.514,18.07
2016-01-15 04:34:22,2457402.691,18.12
2016-01-15 06:20:57,2457402.765,18.04
2016-01-15 10:34:38,2457402.941,18.06
2016-01-15 12:21:12,2457403.015,18.05
2016-01-15 16:34:53,2457403.191,18.09
2016-01-20 10:39:31,2457407.944,18.38
2016-01-20 16:39:47,2457408.194,18.39
2016-01-20 18:26:21,2457408.268,18.34
2016-01-20 22:40:02,2457408.444,18.43
2016-01-21 00:26:37,2457408.518,18.4
2016-01-21 04:40:18,2457408.695,18.53
2016-01-21 06:26:53,2457408.769,18.42
2016-02-29 18:00:56,2457448.251,20.57

