Gaia16abw
#Date,JD,averagemag.
2014-09-05 20:50:59,2456906.369,null
2014-09-06 01:04:39,2456906.545,null
2014-09-06 02:51:14,2456906.619,null
2014-10-14 04:22:49,2456944.683,null
2014-10-14 06:09:24,2456944.757,null
2014-12-07 03:55:58,2456998.664,null
2014-12-07 05:38:49,2456998.735,null
2015-01-18 20:35:54,2457041.358,17.3
2015-01-18 22:22:28,2457041.432,17.23
2015-01-19 02:36:08,2457041.608,17.31
2015-01-19 04:22:43,2457041.682,17.28
2015-01-25 02:41:07,2457047.612,17.27
2015-01-25 04:27:42,2457047.686,17.22
2015-01-25 08:32:59,2457047.856,null
2015-03-11 07:04:23,2457092.795,17.44
2015-03-11 08:50:57,2457092.869,17.42
2015-03-27 19:06:53,2457109.296,17.94
2015-05-03 18:16:15,2457146.261,16.95
2015-05-03 20:02:48,2457146.335,17.04
2015-06-07 13:41:51,2457181.071,null
2015-06-07 13:41:51,2457181.071,null
2015-06-07 17:55:29,2457181.247,null
2015-07-01 17:55:35,2457205.247,17.92
2015-07-01 19:42:09,2457205.321,17.87
2015-08-28 05:43:25,2457262.738,18.69
2015-08-28 07:30:00,2457262.813,18.62
2015-08-28 11:43:40,2457262.989,18.64
2015-08-28 13:30:15,2457263.063,18.58
2015-09-17 17:54:36,2457283.246,18.11
2015-09-17 19:41:10,2457283.320,18.08
2015-09-17 23:54:51,2457283.496,18.18
2015-09-18 01:41:25,2457283.570,18.15
2015-10-25 17:33:01,2457321.231,17.35
2015-11-28 22:57:22,2457355.457,18.32
2015-11-29 00:43:56,2457355.531,18.31
2015-12-17 12:45:31,2457374.032,17.54
2016-01-30 15:30:00,2457418.146,15.66
2016-01-30 17:16:34,2457418.220,15.62
2016-01-30 17:16:34,2457418.220,null
2016-01-30 21:30:14,2457418.396,15.72
2016-01-30 23:16:49,2457418.470,15.63
2016-02-04 21:34:29,2457423.399,16.04
2016-02-04 23:21:03,2457423.473,15.85
2016-02-05 03:34:43,2457423.649,15.88
2016-02-05 05:12:40,2457423.717,null
2016-03-20 15:50:56,2457468.160,15.18
2016-04-09 14:02:25,2457488.085,15.03

