Gaia16abz
#Date,JD,averagemag.
2014-10-18 06:00:08,2456948.750,null
2014-10-18 10:13:19,2456948.926,null
2014-12-11 17:37:22,2457003.234,null
2015-01-19 20:47:58,2457042.367,null
2015-01-19 22:34:49,2457042.441,null
2015-01-29 08:54:39,2457051.871,null
2015-01-29 10:41:17,2457051.945,null
2015-01-29 14:54:57,2457052.121,null
2015-03-19 01:11:34,2457100.550,null
2015-03-19 02:57:52,2457100.624,null
2015-03-19 07:11:57,2457100.800,null
2015-03-19 08:58:15,2457100.874,null
2015-03-22 21:01:32,2457104.376,null
2015-03-23 01:15:18,2457104.552,null
2015-03-23 03:02:08,2457104.626,null
2015-03-23 07:15:19,2457104.802,null
2015-03-23 09:02:09,2457104.876,null
2015-03-23 13:15:55,2457105.053,null
2015-05-06 12:06:11,2457149.004,null
2015-05-06 13:52:52,2457149.078,null
2015-06-02 01:43:01,2457175.572,null
2015-06-02 05:56:45,2457175.748,null
2015-07-02 05:45:32,2457205.740,null
2015-07-02 07:32:04,2457205.814,null
2015-10-29 13:09:43,2457325.048,null
2015-10-29 17:22:57,2457325.224,null
2015-11-27 05:08:22,2457353.714,null
2015-11-27 06:55:22,2457353.788,null
2015-12-22 06:43:08,2457378.780,null
2016-02-02 21:51:57,2457421.411,18.87
2016-02-02 23:38:32,2457421.485,18.89
2016-02-03 03:52:13,2457421.661,18.87
2016-02-03 05:38:47,2457421.735,18.8
2016-02-03 09:52:28,2457421.911,18.97
2016-02-03 11:39:02,2457421.985,18.88
2016-02-06 11:34:06,2457424.982,null
2016-02-06 15:47:35,2457425.158,null
2016-02-06 17:34:31,2457425.232,null
2016-02-06 21:48:10,2457425.408,null
2016-02-06 23:34:41,2457425.482,null
2016-02-07 03:48:24,2457425.659,null

