Gaia16acd
#Date,JD,averagemag.
2015-01-19 21:46:18,2457042.407,null
2015-01-19 23:32:35,2457042.481,null
2015-02-14 17:21:57,2457068.224,null
2015-02-14 21:35:47,2457068.400,null
2015-07-03 16:49:03,2457207.201,null
2015-07-03 18:36:02,2457207.275,null
2015-07-31 22:35:47,2457235.442,null
2015-08-25 16:29:21,2457260.187,null
2015-08-25 18:16:11,2457260.261,null
2016-01-05 18:48:10,2457393.283,null
2016-01-05 23:01:48,2457393.460,null
2016-02-03 10:49:44,2457421.951,18.88
2016-02-03 12:36:18,2457422.025,18.83
2016-02-24 12:38:01,2457443.026,19.1

