Gaia16acg
#Date,JD,averagemag.
2014-08-08 04:30:59,2456877.688,null
2014-08-08 08:44:39,2456877.864,null
2014-08-08 10:31:14,2456877.938,null
2014-08-08 14:45:10,2456878.115,null
2014-08-08 16:31:45,2456878.189,null
2014-08-08 20:45:07,2456878.365,null
2014-11-01 07:24:47,2456962.809,null
2014-11-01 13:24:43,2456963.059,null
2014-11-01 15:11:28,2456963.133,null
2014-11-01 19:25:07,2456963.309,null
2014-11-01 21:11:24,2456963.383,null
2014-11-02 01:25:31,2456963.559,null
2014-11-02 03:11:49,2456963.633,null
2014-11-02 07:25:50,2456963.810,null
2014-11-02 09:12:02,2456963.883,null
2014-11-02 13:26:02,2456964.060,null
2014-11-02 15:12:14,2456964.134,null
2014-11-02 21:12:27,2456964.384,null
2014-11-03 03:12:36,2456964.634,null
2014-11-04 21:14:47,2456966.385,null
2014-11-05 03:14:55,2456966.635,null
2014-11-05 09:15:11,2456966.886,null
2014-11-05 13:28:56,2456967.062,null
2014-11-05 15:15:21,2456967.136,null
2014-11-05 19:28:44,2456967.312,null
2014-11-05 21:15:45,2456967.386,null
2014-11-06 01:29:20,2456967.562,null
2014-11-06 03:16:07,2456967.636,null
2014-11-06 07:29:32,2456967.812,null
2014-11-06 09:16:19,2456967.886,null
2014-11-06 13:29:44,2456968.062,null
2014-12-17 13:02:33,2457009.043,null
2015-01-21 06:20:33,2457043.764,null
2015-01-21 08:07:24,2457043.838,null
2015-02-04 00:25:59,2457057.518,null
2015-02-04 02:12:39,2457057.592,null
2015-05-10 08:43:56,2457152.864,null
2015-05-10 10:30:11,2457152.938,null
2015-07-01 15:58:33,2457205.166,null
2015-11-07 08:28:59,2457333.853,null
2015-11-07 10:15:34,2457333.927,null
2015-11-07 14:29:07,2457334.104,null
2015-11-07 16:15:46,2457334.178,null
2015-11-25 04:23:15,2457351.683,null
2015-11-25 08:36:59,2457351.859,null
2015-12-28 02:12:02,2457384.592,null
2015-12-28 03:58:21,2457384.666,null
2016-02-05 14:54:40,2457424.121,18.37
2016-02-05 19:08:19,2457424.297,18.4
2016-02-05 20:54:52,2457424.371,18.38
2016-02-06 01:08:31,2457424.548,18.42
2016-02-11 07:12:28,2457429.800,18.55
2016-02-11 08:59:02,2457429.874,18.47
2016-02-11 13:12:41,2457430.050,18.52
2016-02-11 14:59:15,2457430.124,18.52

