Gaia16aci
#Date,JD,averagemag.
2014-08-12 05:50:46,2456881.744,null
2014-08-12 11:51:14,2456881.994,null
2014-08-12 13:37:52,2456882.068,null
2014-08-12 17:51:10,2456882.244,null
2014-08-12 19:37:48,2456882.318,null
2014-08-13 01:37:54,2456882.568,null
2014-12-18 17:40:39,2457010.237,null
2015-01-21 11:04:59,2457043.962,null
2015-02-05 11:11:04,2457058.966,null
2015-02-05 15:24:15,2457059.142,null
2015-05-11 11:47:28,2457153.991,null
2015-05-11 13:34:06,2457154.065,null
2015-05-25 01:41:33,2457167.571,null
2015-05-25 05:55:16,2457167.747,null
2015-07-01 13:02:48,2457205.044,null
2015-08-16 18:34:50,2457251.274,null
2015-08-17 00:35:24,2457251.525,null
2015-11-10 07:11:43,2457336.800,null
2015-11-10 11:25:48,2457336.976,null
2015-11-10 13:12:23,2457337.050,null
2015-11-24 11:33:19,2457350.981,null
2015-11-24 13:19:48,2457351.055,null
2015-11-24 17:33:33,2457351.232,null
2015-11-24 19:19:48,2457351.305,null
2015-12-29 06:50:28,2457385.785,null
2015-12-29 11:04:27,2457385.961,null
2016-02-05 22:24:17,2457424.434,18.8
2016-02-06 00:10:51,2457424.508,18.74
2016-02-12 22:30:35,2457431.438,18.78
2016-02-13 00:17:10,2457431.512,18.61
2016-02-13 04:30:51,2457431.688,18.61

