Gaia16acp
#Date,JD,averagemag.
2014-08-29 20:33:50,2456899.357,null
2014-08-29 22:20:41,2456899.431,null
2015-01-21 20:48:25,2457044.367,null
2015-02-15 12:51:43,2457069.036,null
2015-07-01 13:30:28,2457205.063,null
2015-07-01 15:16:37,2457205.137,null
2015-07-31 01:16:11,2457234.553,null
2015-07-31 03:03:17,2457234.627,null
2015-08-23 09:03:02,2457257.877,null
2015-08-23 13:16:47,2457258.053,null
2016-01-06 14:23:14,2457394.099,null
2016-01-06 16:09:59,2457394.174,null
2016-02-05 13:51:24,2457424.077,18.75
2016-02-05 15:37:58,2457424.151,18.69
2016-02-24 19:51:22,2457443.327,19.46
2016-02-24 21:37:55,2457443.401,19.39

