Gaia16act
#Date,JD,averagemag.
2014-08-30 03:55:14,2456899.663,null
2015-01-23 19:28:53,2457046.312,null
2015-01-23 21:15:17,2457046.386,null
2015-02-22 19:03:35,2457076.294,null
2015-02-22 20:49:55,2457076.368,null
2015-06-28 20:48:27,2457202.367,null
2015-06-29 01:02:22,2457202.543,null
2015-08-22 18:50:01,2457257.285,null
2016-01-12 14:38:49,2457400.110,null
2016-01-12 16:25:32,2457400.184,null
2016-02-07 02:21:33,2457425.598,18.63
2016-02-07 04:08:07,2457425.672,18.5
2016-03-04 09:55:49,2457451.914,19.87

