Gaia16acy
#Date,JD,averagemag.
2014-08-27 00:51:15,2456896.536,18.11
2014-12-31 04:30:21,2457022.688,17.79
2014-12-31 06:16:55,2457022.762,17.69
2015-01-25 22:15:22,2457048.427,null
2015-01-26 00:06:58,2457048.505,17.69
2015-02-21 00:02:01,2457074.501,17.81
2015-06-26 04:16:42,2457199.678,17.71
2015-06-26 06:03:16,2457199.752,17.68
2015-07-26 10:03:51,2457229.919,null
2015-07-26 11:50:41,2457229.994,null
2015-08-19 21:49:28,2457254.409,17.7
2015-08-19 23:36:02,2457254.483,17.67
2016-01-10 13:25:26,2457398.059,17.68
2016-02-09 17:20:51,2457428.223,17.22
2016-02-09 19:07:26,2457428.297,17.43
2016-03-02 07:12:44,2457449.801,17.71
2016-03-02 11:26:25,2457449.977,17.58

