Gaia16acz
#Date,JD,averagemag.
2014-08-29 09:50:16,2456898.910,19.95
2014-09-30 06:41:58,2456930.779,null
2014-09-30 10:55:39,2456930.955,null
2015-01-03 13:39:15,2457026.069,19.55
2015-01-03 15:25:49,2457026.143,19.57
2015-01-24 21:18:58,2457047.388,19.56
2015-01-25 01:32:37,2457047.564,19.62
2015-02-24 07:07:55,2457077.797,null
2015-02-24 08:54:26,2457077.871,null
2015-06-26 20:43:01,2457200.363,19.09
2015-06-27 00:56:42,2457200.539,19.19
2015-08-21 20:29:59,2457256.354,null
2015-08-22 00:43:49,2457256.530,null
2015-10-05 17:45:35,2457301.240,null
2015-10-05 17:45:35,2457301.240,null
2015-10-05 23:47:25,2457301.491,null
2015-10-06 01:32:31,2457301.564,null
2015-10-06 01:32:31,2457301.564,null
2015-10-06 05:45:44,2457301.740,null
2015-10-06 05:45:44,2457301.740,null
2015-10-06 07:32:35,2457301.814,null
2015-10-06 07:32:35,2457301.814,null
2015-10-06 11:46:28,2457301.991,null
2015-10-06 11:46:28,2457301.991,null
2015-10-06 13:32:46,2457302.064,null
2015-10-06 17:46:32,2457302.241,null
2015-10-06 19:32:47,2457302.314,null
2015-10-07 11:48:57,2457302.992,19.48
2016-01-13 14:43:12,2457401.113,19.44
2016-01-13 16:29:45,2457401.187,19.63
2016-02-08 02:28:06,2457426.603,15.9
2016-02-08 04:14:39,2457426.677,15.97
2016-03-06 08:14:36,2457453.843,19.34
2016-03-06 10:01:10,2457453.917,19.36

