Gaia16adc
#Date,JD,averagemag.
2014-08-26 08:11:10,2456895.841,null
2014-12-30 01:35:41,2457021.566,null
2014-12-30 03:22:37,2457021.641,null
2015-01-26 03:05:15,2457048.629,null
2015-01-26 07:18:54,2457048.805,null
2015-02-19 13:13:08,2457073.051,null
2015-02-19 14:59:22,2457073.125,null
2015-06-26 07:13:44,2457199.801,null
2015-06-26 09:00:38,2457199.875,null
2015-07-27 12:55:57,2457231.039,null
2015-07-27 14:42:59,2457231.113,null
2015-08-19 08:41:24,2457253.862,null
2015-08-19 12:55:04,2457254.038,null
2015-11-26 03:36:09,2457352.650,null
2015-11-26 05:22:46,2457352.724,null
2015-11-26 09:36:16,2457352.900,null
2015-11-26 11:22:30,2457352.974,null
2015-11-26 15:36:29,2457353.150,null
2015-11-26 17:22:59,2457353.224,null
2015-11-26 21:36:59,2457353.401,null
2015-11-26 23:23:32,2457353.475,null
2015-11-27 05:23:31,2457353.725,null
2015-11-28 05:24:36,2457354.725,null
2015-11-28 11:24:31,2457354.975,null
2015-11-28 15:38:09,2457355.151,null
2015-11-28 17:25:07,2457355.226,null
2015-11-28 21:38:45,2457355.402,null
2015-11-28 23:25:00,2457355.476,null
2016-02-10 03:57:50,2457428.665,18.24
2016-02-10 08:11:28,2457428.841,18.21

