Gaia16adf
#Date,JD,averagemag.
2014-08-29 22:33:37,2456899.440,null
2014-08-30 00:20:07,2456899.514,null
2014-11-14 08:16:08,2456975.845,null
2014-11-30 18:30:10,2456992.271,null
2014-11-30 20:16:25,2456992.345,null
2015-01-10 00:49:35,2457032.534,null
2015-01-27 17:02:06,2457050.210,null
2015-01-27 18:48:34,2457050.284,null
2015-03-05 10:06:37,2457086.921,null
2015-04-03 15:50:53,2457116.160,null
2015-04-03 17:37:33,2457116.234,null
2015-05-03 15:43:53,2457146.155,null
2015-05-03 17:30:09,2457146.229,null
2015-06-16 15:27:02,2457190.144,null
2015-06-16 17:13:18,2457190.218,null
2015-07-13 03:34:58,2457216.649,null
2015-07-13 05:21:49,2457216.723,null
2015-08-21 09:14:50,2457255.885,null
2015-08-21 11:01:40,2457255.959,null
2015-10-18 08:38:26,2457313.860,null
2015-10-18 10:25:15,2457313.934,null
2015-11-26 15:10:53,2457353.133,null
2016-02-09 12:03:13,2457428.002,18.98
2016-02-09 13:49:48,2457428.076,18.95
2016-03-15 23:20:20,2457463.472,20.03
2016-03-16 01:06:54,2457463.546,19.75

