Gaia16adg
#Date,JD,averagemag.
2014-09-01 04:08:32,2456901.673,null
2014-09-01 05:54:47,2456901.746,null
2014-10-11 01:21:33,2456941.557,null
2014-10-11 03:08:18,2456941.631,null
2014-11-13 14:36:27,2456975.109,null
2014-12-05 18:44:20,2456997.281,null
2014-12-05 20:31:10,2456997.355,null
2015-01-14 11:27:12,2457036.977,null
2015-01-14 13:14:06,2457037.051,null
2015-01-28 11:31:49,2457050.980,null
2015-03-09 23:55:25,2457091.497,null
2015-03-10 04:09:10,2457091.673,null
2015-03-30 16:05:57,2457112.171,null
2015-03-30 16:05:57,2457112.171,null
2015-03-30 17:52:12,2457112.245,null
2015-03-30 17:52:12,2457112.245,null
2015-05-05 05:11:46,2457147.717,null
2015-05-05 09:25:11,2457147.892,null
2015-07-06 21:06:38,2457210.380,null
2015-07-06 22:53:21,2457210.454,null
2015-08-22 20:47:45,2457257.366,null
2015-08-22 22:34:28,2457257.441,null
2015-09-19 02:50:18,2457284.618,null
2015-09-19 04:36:23,2457284.692,null
2015-10-22 20:29:50,2457318.354,null
2015-10-22 22:16:05,2457318.428,null
2015-11-26 19:47:58,2457353.325,null
2015-11-26 21:34:59,2457353.399,null
2015-12-16 15:32:40,2457373.148,null
2016-01-26 00:23:17,2457413.516,null
2016-01-26 02:09:49,2457413.590,null
2016-02-09 00:21:58,2457427.515,18.51
2016-02-09 02:08:32,2457427.589,18.5
2016-03-20 05:09:28,2457467.715,20.12

