Gaia16adh
#Date,JD,averagemag.
2014-08-24 16:10:11,2456894.174,18.98
2014-08-24 20:23:52,2456894.350,19.17
2015-01-26 07:04:10,2457048.795,18.5
2015-01-26 08:50:43,2457048.869,18.78
2015-02-16 07:03:23,2457069.794,19.01
2015-02-16 08:49:56,2457069.868,18.98
2015-06-26 15:12:04,2457200.133,18.77
2015-07-29 20:44:43,2457233.364,null
2015-08-18 08:48:49,2457252.867,null
2015-08-18 13:02:25,2457253.043,null
2015-11-23 09:25:47,2457349.893,19.0
2015-11-23 11:12:20,2457349.967,18.96
2015-11-23 15:25:59,2457350.143,18.98
2015-11-23 17:12:33,2457350.217,18.97
2015-11-28 23:16:31,2457355.470,18.94
2016-01-07 08:36:44,2457394.859,18.42
2016-01-07 10:23:18,2457394.933,18.55
2016-02-11 02:02:23,2457429.585,16.43
2016-02-11 03:48:56,2457429.659,15.99
2016-02-11 08:02:35,2457429.835,null
2016-02-24 20:09:17,2457443.340,17.91
2016-02-24 21:55:50,2457443.414,18.05

