Gaia16adi
#Date,JD,averagemag.
2014-08-31 12:47:37,2456901.033,20.44
2014-08-31 14:39:08,2456901.111,null
2014-08-31 18:53:15,2456901.287,null
2014-10-13 04:05:02,2456943.670,null
2014-10-13 05:52:37,2456943.745,null
2014-11-11 09:55:40,2456972.914,20.14
2014-11-11 11:42:14,2456972.988,null
2014-12-09 03:37:19,2457000.651,null
2014-12-09 05:28:46,2457000.728,null
2015-01-15 14:44:06,2457038.114,19.99
2015-01-15 16:30:40,2457038.188,19.93
2015-01-30 22:34:53,2457053.441,19.51
2015-01-31 02:48:33,2457053.617,20.04
2015-03-14 01:17:08,2457095.554,null
2015-03-14 03:06:40,2457095.630,20.12
2015-03-29 07:23:51,2457110.808,19.48
2015-03-29 09:10:25,2457110.882,19.45
2015-07-06 05:57:23,2457209.748,null
2015-07-06 07:37:01,2457209.817,19.86
2015-08-20 23:32:53,2457255.481,null
2015-08-21 01:13:32,2457255.551,19.84
2015-08-21 05:33:27,2457255.732,null
2015-09-13 05:41:01,2457278.737,null
2015-09-13 07:27:35,2457278.811,null
2015-10-25 07:01:01,2457320.792,null
2015-10-25 11:14:38,2457320.969,null
2015-12-20 04:47:53,2457376.700,19.57
2015-12-20 06:34:27,2457376.774,19.4
2016-01-28 03:40:47,2457415.653,19.88
2016-01-28 05:27:21,2457415.727,19.71
2016-02-10 21:46:07,2457429.407,18.38
2016-02-10 23:32:41,2457429.481,18.32
2016-04-10 10:06:26,2457488.921,19.36

