Gaia16adk
#Date,JD,averagemag.
2014-08-25 17:02:40,2456895.210,null
2014-08-25 18:49:13,2456895.284,null
2014-11-15 23:44:13,2456977.489,null
2014-11-16 01:27:18,2456977.561,20.62
2014-11-16 05:44:23,2456977.739,null
2014-11-16 07:31:13,2456977.813,null
2014-11-16 11:44:23,2456977.989,null
2014-11-16 13:31:12,2456978.063,null
2014-11-16 17:44:57,2456978.240,null
2014-11-16 19:31:12,2456978.313,null
2014-11-16 23:41:43,2456978.487,null
2014-11-18 05:42:56,2456979.738,null
2014-11-18 11:43:11,2456979.988,null
2014-11-18 13:29:45,2456980.062,null
2014-11-18 17:46:49,2456980.241,null
2014-11-18 19:33:04,2456980.315,null
2014-11-18 23:46:48,2456980.491,null
2014-11-19 01:30:15,2456980.563,null
2014-11-19 05:46:50,2456980.741,null
2014-11-19 07:33:31,2456980.815,null
2014-12-31 18:26:27,2457023.268,20.68
2014-12-31 22:38:28,2457023.443,null
2015-01-27 18:14:11,2457050.260,20.6
2015-02-22 22:17:43,2457076.429,null
2015-02-23 00:10:33,2457076.507,20.62
2015-06-23 16:12:36,2457197.175,null
2015-06-23 17:57:34,2457197.248,null
2015-07-25 05:41:02,2457228.737,null
2015-08-18 11:34:17,2457252.982,null
2015-11-23 18:34:22,2457350.274,20.51
2015-11-23 20:20:57,2457350.348,20.35
2015-11-24 00:34:38,2457350.524,null
2015-12-04 06:43:10,2457360.780,null
2015-12-04 08:28:15,2457360.853,null
2016-01-11 11:48:22,2457398.992,20.28
2016-02-11 11:29:12,2457429.979,19.33
2016-02-11 13:15:47,2457430.053,19.44
2016-03-04 19:21:34,2457452.307,20.16

