Gaia16adl
#Date,JD,averagemag.
2014-08-26 01:54:10,2456895.579,null
2014-11-14 14:54:15,2456976.121,null
2014-11-14 16:40:49,2456976.195,null
2014-11-21 16:46:01,2456983.199,null
2014-11-21 20:59:54,2456983.375,null
2014-11-21 22:46:35,2456983.449,null
2015-01-01 21:36:31,2457024.400,null
2015-01-28 03:21:37,2457050.640,null
2015-02-24 19:23:26,2457078.308,null
2015-08-18 12:37:24,2457253.026,null
2015-10-02 11:25:59,2457297.976,null
2015-10-02 17:26:28,2457298.227,null
2015-10-02 19:12:51,2457298.301,null
2015-10-02 23:26:23,2457298.477,null
2015-10-03 01:13:25,2457298.551,null
2015-10-03 07:13:28,2457298.801,null
2015-10-06 01:16:04,2457301.553,null
2015-10-06 01:16:04,2457301.553,null
2015-10-06 05:29:53,2457301.729,null
2015-10-06 05:29:53,2457301.729,null
2015-10-06 07:16:17,2457301.803,null
2015-10-06 07:16:17,2457301.803,null
2015-10-06 11:30:07,2457301.979,null
2015-10-06 11:30:07,2457301.979,null
2015-10-06 13:16:28,2457302.053,null
2015-10-06 17:30:14,2457302.229,null
2015-11-23 21:49:38,2457350.409,null
2015-11-23 23:35:51,2457350.483,null
2015-12-05 11:41:51,2457361.987,null
2015-12-05 15:55:54,2457362.164,null
2016-01-12 14:56:18,2457400.122,null
2016-01-12 16:42:58,2457400.197,null
2016-02-11 14:29:52,2457430.104,17.72
2016-02-11 16:16:25,2457430.178,17.56
2016-03-07 02:28:02,2457454.603,17.74
2016-03-07 04:14:36,2457454.677,17.69

