Gaia16adr
#Date,JD,averagemag.
2014-08-11 04:33:12,2456880.690,null
2014-08-11 08:47:15,2456880.866,null
2014-08-11 10:33:50,2456880.940,null
2014-08-11 14:47:15,2456881.116,null
2014-08-11 16:33:51,2456881.190,null
2014-08-11 20:47:51,2456881.367,null
2014-12-18 01:01:41,2457009.543,null
2015-01-20 20:09:31,2457043.340,null
2015-02-05 00:27:13,2457058.519,null
2015-02-05 02:13:28,2457058.593,null
2015-05-11 04:29:54,2457153.687,null
2015-05-11 08:43:32,2457153.864,null
2015-07-02 02:10:10,2457205.590,null
2015-07-02 03:56:39,2457205.664,null
2015-08-16 19:46:23,2457251.324,null
2015-08-17 01:46:24,2457251.574,null
2015-08-17 07:47:00,2457251.824,null
2015-08-17 13:46:55,2457252.074,null
2015-08-17 19:47:08,2457252.324,null
2015-11-08 14:28:24,2457335.103,null
2015-11-08 16:14:47,2457335.177,null
2015-11-24 08:38:04,2457350.860,null
2015-11-24 10:24:23,2457350.934,null
2015-12-28 14:10:48,2457385.091,null
2015-12-28 15:57:38,2457385.165,null
2016-02-04 19:18:52,2457423.305,null
2016-02-04 21:05:56,2457423.379,null
2016-02-13 01:15:22,2457431.552,18.9
2016-02-13 03:01:56,2457431.626,18.84

