Gaia16adt
#Date,JD,averagemag.
2014-08-24 09:49:08,2456893.909,19.06
2014-08-24 13:57:12,2456894.081,null
2014-11-13 02:47:38,2456974.616,null
2014-11-13 04:34:12,2456974.690,18.95
2014-11-21 02:53:03,2456982.620,19.23
2014-11-21 04:39:37,2456982.694,null
2014-11-21 08:53:16,2456982.870,18.99
2014-12-31 01:46:10,2457022.574,19.05
2014-12-31 03:32:44,2457022.648,18.7
2015-01-28 21:10:35,2457051.382,18.94
2015-01-29 01:24:14,2457051.559,19.1
2015-02-22 13:26:07,2457076.060,null
2015-02-22 13:26:07,2457076.060,null
2015-02-22 15:12:48,2457076.134,null
2015-07-25 18:43:55,2457229.281,null
2015-07-25 20:30:10,2457229.354,null
2015-08-17 06:47:23,2457251.783,18.92
2015-11-22 03:43:17,2457348.655,19.02
2015-11-22 05:29:51,2457348.729,19.23
2015-12-05 05:34:19,2457361.732,18.82
2015-12-05 09:47:58,2457361.908,19.17
2016-01-10 20:52:42,2457398.370,19.39
2016-01-10 22:39:15,2457398.444,18.73
2016-02-13 02:24:05,2457431.600,17.02
2016-02-13 04:10:38,2457431.674,16.9
2016-03-04 08:29:19,2457451.854,17.89
2016-03-04 10:15:53,2457451.928,18.13
2016-03-04 14:29:32,2457452.104,18.53

