Gaia16adu
#Date,JD,averagemag.
2014-08-09 22:46:02,2456879.449,null
2014-08-10 03:00:15,2456879.625,null
2014-08-10 04:46:25,2456879.699,null
2014-08-10 09:00:17,2456879.875,null
2014-08-10 10:46:55,2456879.949,null
2014-08-10 15:00:25,2456880.125,null
2014-08-10 16:47:03,2456880.199,null
2014-08-10 21:00:30,2456880.375,null
2014-08-30 21:23:29,2456900.391,null
2014-08-31 03:24:01,2456900.642,null
2014-08-31 05:10:27,2456900.716,null
2014-08-31 09:24:18,2456900.892,null
2014-08-31 11:10:28,2456900.966,null
2014-08-31 15:24:02,2456901.142,null
2014-08-31 17:10:46,2456901.216,null
2014-08-31 21:24:29,2456901.392,null
2014-08-31 23:11:09,2456901.466,null
2014-09-01 03:24:33,2456901.642,null
2014-09-01 05:11:17,2456901.716,null
2014-09-01 09:25:15,2456901.893,null
2014-09-01 11:11:51,2456901.967,null
2014-09-01 15:25:36,2456902.143,null
2014-09-01 17:12:12,2456902.217,null
2014-09-01 21:25:28,2456902.393,null
2014-09-01 23:12:23,2456902.467,null
2014-09-02 03:26:08,2456902.643,null
2014-09-02 05:12:27,2456902.717,null
2014-09-02 09:25:59,2456902.893,null
2014-09-02 11:12:49,2456902.967,null
2014-09-02 15:26:35,2456903.143,null
2014-09-02 17:12:50,2456903.217,null
2014-09-02 21:26:41,2456903.394,null
2014-09-02 23:13:01,2456903.467,null
2014-09-03 03:26:53,2456903.644,null
2014-09-03 05:13:43,2456903.718,null
2014-09-03 09:26:55,2456903.894,null
2014-09-03 11:13:34,2456903.968,null
2014-09-03 15:27:30,2456904.144,null
2014-09-03 17:14:11,2456904.218,null
2014-09-03 21:27:31,2456904.394,null
2014-09-03 23:14:14,2456904.468,null
2014-09-04 03:27:37,2456904.644,null
2014-09-04 05:14:18,2456904.718,null
2014-09-04 09:28:12,2456904.895,null
2014-09-04 11:14:30,2456904.968,null
2014-09-04 15:28:39,2456905.145,null
2014-09-04 17:14:58,2456905.219,null
2014-09-04 21:28:37,2456905.395,null
2014-09-05 03:29:08,2456905.645,null
2014-10-22 01:02:17,2456952.543,null
2014-10-22 02:48:35,2456952.617,null
2014-10-22 07:02:33,2456952.793,null
2014-10-22 08:49:08,2456952.867,null
2014-11-05 21:00:10,2456967.375,null
2014-11-06 01:13:57,2456967.551,null
2014-11-06 03:00:25,2456967.625,null
2014-12-15 00:49:33,2457006.534,null
2014-12-15 02:36:23,2457006.609,null
2015-01-17 18:11:46,2457040.258,null
2015-05-11 04:45:25,2457153.698,null
2015-05-11 08:59:37,2457153.875,null
2015-07-04 20:22:24,2457208.349,null
2015-07-04 22:09:14,2457208.423,null
2015-08-30 03:56:45,2457264.664,null
2015-08-30 08:10:09,2457264.840,null
2015-08-30 09:56:55,2457264.915,null
2015-08-30 14:10:51,2457265.091,null
2015-08-30 15:57:29,2457265.165,null
2015-08-30 20:11:12,2457265.341,null
2015-11-01 20:13:02,2457328.342,null
2015-11-01 22:00:00,2457328.417,null
2015-11-22 20:21:10,2457349.348,null
2015-11-22 22:08:01,2457349.422,null
2016-01-31 08:53:39,2457418.871,null
2016-02-14 01:02:06,2457432.543,17.14
2016-02-14 02:48:39,2457432.617,17.1

