Gaia16adz
#Date,JD,averagemag.
2014-08-23 16:50:48,2456893.202,null
2014-09-25 19:24:17,2456926.309,null
2014-09-25 21:10:44,2456926.382,null
2014-09-26 01:24:14,2456926.559,null
2014-09-26 03:10:42,2456926.632,null
2014-11-10 19:30:23,2456972.313,null
2014-11-10 23:43:38,2456972.489,null
2014-11-24 05:49:10,2456985.742,null
2014-11-24 07:35:53,2456985.817,null
2014-12-31 18:37:34,2457023.276,null
2014-12-31 22:51:12,2457023.452,null
2015-02-25 00:18:20,2457078.513,null
2015-02-25 04:31:49,2457078.689,null
2015-04-20 22:19:42,2457133.430,null
2015-04-21 04:20:00,2457133.681,null
2015-04-21 06:06:42,2457133.755,null
2015-04-21 10:20:23,2457133.931,null
2015-04-21 12:06:58,2457134.005,null
2015-05-07 06:17:59,2457149.762,null
2015-05-07 10:31:51,2457149.939,null
2015-05-07 12:18:26,2457150.013,null
2015-05-07 16:32:18,2457150.189,null
2015-06-20 10:08:27,2457193.923,null
2015-06-20 11:54:52,2457193.996,null
2015-07-24 11:26:50,2457227.977,null
2015-09-30 03:59:11,2457295.666,null
2015-09-30 08:12:57,2457295.842,null
2015-09-30 09:59:12,2457295.916,null
2015-09-30 14:12:52,2457296.092,null
2015-10-06 08:17:46,2457301.846,null
2015-10-06 08:17:46,2457301.846,null
2015-10-06 10:04:12,2457301.920,null
2015-10-06 10:04:12,2457301.920,null
2015-10-06 14:17:55,2457302.096,null
2015-10-06 16:04:10,2457302.170,null
2015-11-21 00:42:13,2457347.529,null
2015-12-07 14:31:22,2457364.105,null
2016-01-11 19:45:35,2457399.323,null
2016-02-14 11:39:27,2457432.986,18.32
2016-02-14 13:26:02,2457433.060,18.25

