Gaia16aee
#Date,JD,averagemag.
2014-09-20 17:18:01,2456921.221,null
2014-09-20 21:31:57,2456921.397,null
2014-10-08 18:41:55,2456939.279,null
2014-10-08 20:28:45,2456939.353,null
2014-11-04 20:32:09,2456966.356,null
2014-11-05 00:46:07,2456966.532,null
2014-12-11 00:26:04,2457002.518,null
2014-12-11 02:12:36,2457002.592,null
2015-01-12 00:01:02,2457034.501,null
2015-02-05 11:51:14,2457058.994,null
2015-02-05 13:38:04,2457059.068,null
2015-03-15 18:31:20,2457097.272,null
2015-05-13 05:13:20,2457155.718,null
2015-06-03 15:22:27,2457177.141,null
2015-06-03 15:22:27,2457177.141,null
2015-06-03 17:08:51,2457177.214,null
2015-06-03 17:08:51,2457177.214,null
2015-07-10 22:22:19,2457214.432,null
2015-09-11 09:57:57,2457276.915,null
2015-09-11 14:11:34,2457277.091,null
2015-10-22 13:52:28,2457318.078,null
2015-10-22 15:39:19,2457318.152,null
2015-11-19 03:40:04,2457345.653,null
2015-11-19 07:53:57,2457345.829,null
2015-12-22 19:34:23,2457379.316,null
2015-12-22 21:21:08,2457379.390,null
2016-01-25 02:47:08,2457412.616,null
2016-02-16 18:44:12,2457435.281,18.7
2016-02-16 20:30:46,2457435.355,18.65
2016-03-26 23:41:34,2457474.487,null
2016-03-27 01:19:57,2457474.556,20.31

