Gaia16aeh
#Date,JD,averagemag.
2014-08-18 23:04:31,2456888.461,null
2014-08-19 00:51:04,2456888.535,null
2014-08-19 05:04:43,2456888.712,null
2014-08-19 06:51:17,2456888.786,null
2014-08-19 11:04:56,2456888.962,null
2014-08-19 12:51:30,2456889.036,null
2014-08-19 18:51:43,2456889.286,null
2014-11-13 19:08:16,2456975.297,null
2014-11-13 23:18:25,2456975.471,15.03
2014-11-13 23:18:25,2456975.471,null
2014-11-14 01:05:00,2456975.545,14.98
2014-11-14 01:05:00,2456975.545,null
2014-11-14 05:18:41,2456975.721,15.12
2014-11-14 07:05:16,2456975.795,15.07
2014-11-14 11:18:57,2456975.971,15.04
2014-11-14 13:05:31,2456976.046,14.99
2014-11-14 17:19:12,2456976.222,15.15
2014-11-14 19:05:47,2456976.296,15.08
2014-11-14 23:19:28,2456976.472,15.08
2014-11-15 01:06:03,2456976.546,15.02
2014-11-15 01:06:03,2456976.546,null
2014-11-15 05:19:44,2456976.722,15.18
2014-11-15 07:06:19,2456976.796,15.14
2014-11-15 13:06:35,2456977.046,15.09
2015-01-28 16:10:43,2457051.174,18.96
2015-01-28 17:57:17,2457051.248,18.98
2015-02-14 22:19:34,2457068.430,19.07
2015-02-15 00:06:09,2457068.504,19.14
2015-02-15 04:19:50,2457068.680,19.18
2015-06-24 16:30:17,2457198.188,19.09
2015-06-24 18:16:51,2457198.262,18.97
2015-07-30 15:57:38,2457234.165,null
2015-11-19 12:13:07,2457346.009,18.7
2015-11-19 13:59:42,2457346.083,18.6
2015-12-02 12:20:53,2457359.015,18.64
2015-12-02 14:07:28,2457359.089,18.6
2016-01-06 17:43:46,2457394.239,18.48
2016-02-16 17:18:50,2457435.221,18.58
2016-02-16 23:19:06,2457435.472,18.71
2016-02-17 01:05:40,2457435.546,18.72
2016-02-17 05:19:22,2457435.722,18.69
2016-02-17 07:05:56,2457435.796,18.75
2016-02-17 11:19:37,2457435.972,18.87
2016-02-17 13:06:12,2457436.046,18.8
2016-02-17 17:19:53,2457436.222,18.85
2016-02-17 19:06:28,2457436.296,18.55
2016-02-17 23:20:09,2457436.472,18.86
2016-02-18 01:06:43,2457436.546,18.78
2016-02-18 05:20:24,2457436.723,18.77
2016-02-18 07:06:59,2457436.797,18.5
2016-02-18 11:13:43,2457436.968,null
2016-02-18 13:07:14,2457437.047,18.77
2016-02-18 17:20:55,2457437.223,18.73
2016-02-18 19:07:30,2457437.297,18.61
2016-02-18 23:21:11,2457437.473,18.89
2016-02-19 01:07:45,2457437.547,null
2016-02-19 05:21:26,2457437.723,18.63
2016-02-19 07:08:01,2457437.797,18.79
2016-02-19 11:21:42,2457437.973,18.97
2016-02-19 13:08:16,2457438.047,18.84
2016-02-19 17:21:57,2457438.224,18.89
2016-02-19 19:08:32,2457438.298,18.73
2016-02-19 23:22:13,2457438.474,18.86
2016-02-20 01:08:48,2457438.548,18.76
2016-02-20 05:22:29,2457438.724,18.8
2016-02-20 11:22:45,2457438.974,18.79

