Gaia16aew
#Date,JD,averagemag.
2014-11-05 07:59:51,2456966.833,null
2015-01-05 07:26:29,2457027.810,null
2015-01-05 11:39:58,2457027.986,null
2015-02-05 17:21:55,2457059.224,null
2015-02-05 19:08:10,2457059.297,null
2015-03-09 18:45:08,2457091.281,null
2015-03-09 22:58:25,2457091.457,null
2015-04-08 22:39:52,2457121.444,null
2015-05-14 04:00:00,2457156.667,null
2015-05-14 05:46:44,2457156.741,null
2015-07-17 20:54:51,2457221.371,null
2015-07-17 22:41:37,2457221.446,null
2015-09-18 01:59:18,2457283.583,null
2015-09-18 03:45:51,2457283.657,null
2015-11-17 15:05:59,2457344.129,null
2015-11-17 19:19:45,2457344.305,null
2015-12-17 13:05:36,2457374.046,null
2016-02-18 12:20:33,2457437.014,18.22
2016-02-18 14:07:07,2457437.088,18.19
2016-03-22 01:41:36,2457469.571,19.38

