Gaia16afe
#Date,JD,averagemag.
2014-11-01 20:00:45,2456963.334,null
2015-01-04 05:53:17,2457026.745,null
2015-01-04 07:40:07,2457026.820,null
2015-02-09 05:31:00,2457062.730,null
2015-02-09 07:17:04,2457062.804,null
2015-03-12 17:09:00,2457094.215,null
2015-04-09 10:52:07,2457121.953,null
2015-04-09 12:38:48,2457122.027,null
2015-05-17 09:55:06,2457159.913,null
2015-06-07 03:51:22,2457180.661,null
2015-06-07 03:51:22,2457180.661,null
2015-06-07 05:37:56,2457180.735,null
2015-06-07 05:37:56,2457180.735,null
2015-07-18 04:26:28,2457221.685,null
2015-09-15 07:49:37,2457280.826,null
2015-09-15 09:36:15,2457280.900,null
2015-11-14 07:23:20,2457340.808,null
2015-11-14 09:09:55,2457340.882,null
2015-12-20 19:03:40,2457377.294,null
2015-12-20 20:50:36,2457377.368,null
2016-02-21 12:31:30,2457440.022,18.86
2016-02-21 14:18:04,2457440.096,18.84

