Gaia16afg
#Date,JD,averagemag.
2014-09-30 03:36:37,2456930.650,null
2014-09-30 05:23:11,2456930.724,null
2014-11-01 04:59:57,2456962.708,null
2015-01-04 02:45:50,2457026.615,19.29
2015-01-04 04:32:24,2457026.689,19.14
2015-02-09 16:08:56,2457063.173,19.2
2015-02-09 20:22:36,2457063.349,18.97
2015-03-13 03:49:33,2457094.659,19.43
2015-04-09 09:44:20,2457121.906,null
2015-05-17 18:57:38,2457160.290,19.42
2015-05-17 20:44:12,2457160.364,19.23
2015-06-06 14:48:50,2457180.117,null
2015-06-06 14:48:50,2457180.117,null
2015-07-18 01:34:16,2457221.565,18.74
2015-10-14 00:24:01,2457309.517,18.93
2015-10-14 04:37:40,2457309.693,18.81
2015-11-13 16:20:52,2457340.181,19.28
2015-11-13 18:07:26,2457340.255,19.2
2015-12-21 15:55:36,2457378.164,19.41
2015-12-21 17:42:10,2457378.238,19.25
2016-01-17 21:52:40,2457405.412,18.91
2016-01-17 23:39:15,2457405.486,18.94
2016-02-21 21:30:32,2457440.396,17.86
2016-02-21 23:17:07,2457440.470,17.78
2016-03-25 21:04:37,2457473.378,18.05

