Gaia16afm
#Date,JD,averagemag.
2014-08-31 10:32:21,2456900.939,null
2014-08-31 14:45:55,2456901.115,null
2015-01-20 06:52:10,2457042.786,null
2015-02-13 06:42:14,2457066.779,null
2015-02-13 08:29:10,2457066.854,null
2015-07-03 07:41:10,2457206.820,null
2015-07-03 09:27:22,2457206.894,null
2015-08-25 03:14:17,2457259.635,null
2015-08-25 07:28:14,2457259.811,null
2016-01-04 08:14:01,2457391.843,null
2016-01-04 10:00:51,2457391.917,null
2016-02-03 19:47:25,2457422.325,null
2016-02-22 13:39:49,2457441.069,18.81
2016-02-22 15:26:23,2457441.143,18.82

