Gaia16afp
#Date,JD,averagemag.
2015-01-08 08:11:01,2457030.841,null
2015-01-08 12:24:23,2457031.017,null
2015-03-19 11:11:02,2457100.966,null
2015-04-06 05:10:51,2457118.716,null
2015-05-22 11:19:04,2457164.972,null
2015-05-22 15:32:47,2457165.148,null
2015-05-22 17:19:16,2457165.222,null
2015-05-22 21:32:54,2457165.398,null
2015-05-28 21:37:41,2457171.401,null
2015-05-28 23:24:06,2457171.475,null
2015-07-14 02:11:47,2457217.592,null
2015-07-14 03:58:37,2457217.666,null
2015-08-05 02:10:55,2457239.591,null
2015-09-08 07:43:14,2457273.822,null
2015-10-19 19:24:04,2457315.308,null
2015-11-05 15:24:09,2457332.142,null
2015-11-05 19:37:24,2457332.318,null
2015-11-05 21:24:24,2457332.392,null
2015-11-06 01:37:56,2457332.568,null
2015-11-06 03:24:29,2457332.642,null
2016-02-23 06:57:56,2457441.790,18.38
2016-02-23 08:44:30,2457441.864,18.33
2016-03-31 23:59:25,2457479.500,20.25
2016-04-01 01:45:59,2457479.574,20.08

