Gaia16afu
#Date,JD,averagemag.
2014-08-23 04:00:36,2456892.667,null
2014-08-23 08:13:49,2456892.843,null
2015-02-15 19:13:33,2457069.301,null
2015-02-15 21:00:28,2457069.375,null
2015-06-25 15:10:42,2457199.132,null
2015-07-30 06:55:15,2457233.788,null
2015-08-17 02:46:39,2457251.616,null
2015-08-17 07:00:24,2457251.792,null
2015-11-21 03:24:30,2457347.642,18.18
2015-11-21 05:11:03,2457347.716,18.13
2015-12-01 03:30:09,2457357.646,16.64
2015-12-01 05:16:43,2457357.720,16.55
2015-12-01 09:30:22,2457357.896,16.57
2016-01-07 02:39:48,2457394.611,17.84
2016-01-07 04:26:22,2457394.685,17.86
2016-02-13 02:04:11,2457431.586,19.34
2016-02-13 03:50:45,2457431.660,19.21
2016-02-13 08:04:24,2457431.836,19.2
2016-02-13 09:50:57,2457431.910,19.17
2016-02-23 02:10:52,2457441.591,19.42
2016-02-23 08:11:05,2457441.841,19.43
2016-02-23 09:57:39,2457441.915,19.45
2016-02-23 14:11:18,2457442.091,19.59
2016-02-23 15:57:52,2457442.165,19.38

