Gaia16afz
#Date,JD,averagemag.
2014-08-24 23:23:23,2456894.475,null
2014-08-25 01:09:41,2456894.548,null
2015-01-25 22:07:15,2457048.422,20.22
2015-01-25 23:53:50,2457048.496,20.02
2015-02-16 04:11:02,2457069.674,20.12
2015-02-16 05:57:37,2457069.748,20.25
2015-06-27 04:30:42,2457200.688,19.77
2015-07-30 04:07:43,2457233.672,null
2015-08-18 22:09:19,2457253.423,null
2015-08-18 23:55:48,2457253.497,null
2015-11-24 14:00:17,2457351.084,null
2015-11-24 18:13:59,2457351.260,19.99
2015-11-24 20:00:33,2457351.334,20.08
2015-11-25 00:14:14,2457351.510,20.0
2015-11-25 02:00:49,2457351.584,20.09
2015-11-25 06:14:30,2457351.760,20.12
2015-11-25 08:03:20,2457351.836,null
2015-11-25 12:14:45,2457352.010,20.15
2015-11-25 18:15:01,2457352.260,20.04
2015-11-26 00:15:16,2457352.511,20.14
2015-11-26 06:15:31,2457352.761,20.15
2015-11-26 12:15:46,2457353.011,20.16
2015-11-26 18:16:02,2457353.261,20.08
2015-11-27 00:16:17,2457353.511,20.1
2015-11-27 02:02:52,2457353.585,null
2015-11-27 06:16:33,2457353.761,20.14
2015-11-27 08:03:07,2457353.836,20.08
2015-11-27 12:16:48,2457354.012,20.09
2015-11-27 14:03:23,2457354.086,null
2015-11-27 18:17:04,2457354.262,20.17
2015-11-27 20:03:39,2457354.336,20.14
2016-01-07 05:33:55,2457394.732,19.86
2016-01-07 07:20:30,2457394.806,19.74
2016-02-10 11:08:46,2457428.964,20.38
2016-02-10 12:55:21,2457429.038,20.1
2016-02-24 13:04:54,2457443.045,15.16
2016-02-24 17:18:34,2457443.221,15.3
2016-02-24 19:05:09,2457443.295,15.17

