Gaia16agb
#Date,JD,averagemag.
2014-11-29 10:18:38,2456990.930,null
2014-11-29 14:32:15,2456991.106,null
2015-02-10 01:55:59,2457063.581,null
2015-02-10 03:42:32,2457063.655,null
2015-02-10 07:56:25,2457063.831,null
2015-03-03 02:07:13,2457084.588,null
2015-03-03 03:53:56,2457084.662,null
2015-03-03 08:07:34,2457084.839,null
2015-03-03 09:54:32,2457084.913,null
2015-04-16 09:32:04,2457128.897,null
2015-05-17 13:29:45,2457160.062,null
2015-07-25 00:09:17,2457228.506,null
2015-07-25 01:56:06,2457228.581,null
2015-11-14 15:49:26,2457341.159,null
2015-11-14 17:36:16,2457341.234,null
2015-12-13 11:20:07,2457369.972,null
2016-01-10 03:27:25,2457397.644,null
2016-01-10 05:14:15,2457397.718,null
2016-02-24 21:00:19,2457443.375,18.64
2016-02-24 22:46:53,2457443.449,18.44
2016-02-25 03:00:33,2457443.625,18.58

