Gaia16agr
#Date,JD,averagemag.
2015-03-20 14:33:16,2457102.106,null
2015-03-20 16:20:12,2457102.181,null
2015-04-11 14:33:14,2457124.106,null
2015-04-11 16:19:22,2457124.180,null
2015-07-20 17:17:21,2457224.220,null
2015-07-20 19:04:08,2457224.295,null
2015-07-28 05:23:00,2457231.724,null
2015-07-28 07:09:25,2457231.798,null
2015-07-28 11:23:08,2457231.974,null
2015-10-11 03:56:35,2457306.664,null
2015-10-11 05:43:08,2457306.738,null
2015-10-30 16:00:40,2457326.167,null
2015-10-30 17:47:18,2457326.241,null
2016-02-29 04:02:24,2457447.668,18.73
2016-02-29 05:48:59,2457447.742,18.5

